字號,字,韻部,韻母
1,東,東,ɒŋ
9,涷,東,ɒŋ
10,蝀,東,ɒŋ
11,凍,東,ɒŋ
18,同,東,ɒŋ
20,童,東,ɒŋ
21,僮,東,ɒŋ
22,銅,東,ɒŋ
23,桐,東,ɒŋ
28,筒,東,ɒŋ
32,罿,東,ɒŋ
34,筩,東,ɒŋ
35,潼,東,ɒŋ
37,洞,東,ɒŋ
38,侗,東,ɒŋ
44,鮦,東,ɒŋ
48,眮,東,ɒŋ
49,蕫,東,ɒŋ
50,穜,東,ɒŋ
51,衕,東,ɒŋ
63,中,中,ɔŋ
64,衷,中,ɔŋ
65,忠,中,ɔŋ
66,𦬕,中,ɔŋ
67,蟲,中,ɔŋ
68,沖,中,ɔŋ
70,盅,中,ɔŋ
72,𦬕,中,ɔŋ
75,終,中,ɔŋ
77,潀,中,ɔŋ
79,螽,中,ɔŋ
81,鼨,中,ɔŋ
85,䶱,中,ɔŋ
90,忡,中,ɔŋ
92,盅,中,ɔŋ
93,崇,中,ɔŋ
100,娀,中,ɔŋ
106,戎,中,ɔŋ
115,弓,蒸,ɔɪŋ
116,躳,中,ɔŋ
117,躬,中,ɔŋ
119,宮,中,ɔŋ
121,融,中,ɔŋ
122,融,中,ɔŋ
123,肜,中,ɔŋ
125,雄,蒸,ɔɪŋ
126,熊,侵,ɔm
127,瞢,蒸,ɔɪŋ
128,夢,蒸,ɔɪŋ
129,𨞯,蒸,ɔɪŋ
130,懜,蒸,ɔɪŋ
133,穹,蒸,ɔɪŋ
137,𦵡,中,ɔŋ
140,窮,中,ɔŋ
142,𥨪,中,ɔŋ
143,馮,蒸,ɔɪŋ
145,汎,侵,ɔm
146,芃,侵,ɔm
147,𨝭,蒸,ɔɪŋ
150,風,侵,ɔm
152,楓,侵,ɔm
157,豐,中,ɔŋ
158,酆,中,ɔŋ
159,蘴,中,ɔŋ
162,麷,中,ɔŋ
165,充,中,ɔŋ
172,隆,中,ɔŋ
173,癃,中,ɔŋ
174,𪔳,中,ɔŋ
178,空,東,ɒŋ
186,倥,東,ɒŋ
192,公,東,ɒŋ
193,功,東,ɒŋ
194,工,東,ɒŋ
197,玒,東,ɒŋ
198,釭,東,ɒŋ
200,攻,東,ɒŋ
205,蒙,東,ɒŋ
206,冡,東,ɒŋ
207,濛,東,ɒŋ
208,𩦺,東,ɒŋ
211,矇,東,ɒŋ
212,饛,東,ɒŋ
215,𨢊,東,ɒŋ
218,鸏,東,ɒŋ
219,幪,東,ɒŋ
222,髳,東,ɒŋ
223,蠓,東,ɒŋ
224,𦿏,蒸,ɔɪŋ
227,霚,東,ɒŋ
232,籠,東,ɒŋ
233,豅,東,ɒŋ
234,㰍,東,ɒŋ
237,龓,東,ɒŋ
239,瀧,東,ɒŋ
240,聾,東,ɒŋ
242,礱,東,ɒŋ
245,嚨,東,ɒŋ
246,蘢,東,ɒŋ
247,櫳,東,ɒŋ
250,襱,東,ɒŋ
252,瓏,東,ɒŋ
256,蠪,東,ɒŋ
259,洪,東,ɒŋ
261,訌,東,ɒŋ
262,紅,東,ɒŋ
263,虹,東,ɒŋ
264,仜,東,ɒŋ
265,鴻,東,ɒŋ
270,烘,東,ɒŋ
280,𨾊,東,ɒŋ
281,㤨,東,ɒŋ
282,叢,東,ɒŋ
284,䕺,東,ɒŋ
287,翁,東,ɒŋ
288,螉,東,ɒŋ
289,䱵,東,ɒŋ
291,䈵,東,ɒŋ
295,怱,東,ɒŋ
297,葱,東,ɒŋ
300,聦,東,ɒŋ
302,𤧚,東,ɒŋ
303,騘,東,ɒŋ
307,鍯,東,ɒŋ
309,𢉛,東,ɒŋ
310,通,東,ɒŋ
312,侗,東,ɒŋ
313,恫,東,ɒŋ
316,俑,東,ɒŋ
320,葼,東,ɒŋ
321,鬷,東,ɒŋ
322,嵕,東,ɒŋ
326,椶,東,ɒŋ
331,艐,東,ɒŋ
333,堫,東,ɒŋ
337,㚇,東,ɒŋ
339,稯,東,ɒŋ
341,蓬,東,ɒŋ
346,芃,侵,ɔm
347,𧚋,東,ɒŋ
351,烘,東,ɒŋ
361,冬,中,ɔŋ
363,苳,中,ɔŋ
368,彤,中,ɔŋ
375,𢾮,中,ɔŋ
378,痋,中,ɔŋ
380,鉵,中,ɔŋ
384,䶱,中,ɔŋ
389,赨,中,ɔŋ
390,賨,中,ɔŋ
391,琮,中,ɔŋ
392,悰,中,ɔŋ
393,潀,中,ɔŋ
394,淙,中,ɔŋ
395,慒,中,ɔŋ
401,農,中,ɔŋ
410,儂,中,ɔŋ
412,膿,中,ɔŋ
422,宗,中,ɔŋ
428,鐘,東,ɒŋ
435,伀,東,ɒŋ
436,橦,東,ɒŋ
440,𧢸,東,ɒŋ
445,龍,東,ɒŋ
451,籠,東,ɒŋ
454,舂,東,ɒŋ
459,憃,東,ɒŋ
460,松,東,ɒŋ
465,衝,東,ɒŋ
466,罿,東,ɒŋ
467,憧,東,ɒŋ
468,䡴,東,ɒŋ
470,潼,東,ɒŋ
475,容,東,ɒŋ
476,溶,東,ɒŋ
478,庸,東,ɒŋ
480,𧴄,東,ɒŋ
483,墉,東,ɒŋ
484,鎔,東,ɒŋ
485,鏞,東,ɒŋ
487,鄘,東,ɒŋ
489,𪅟,東,ɒŋ
490,㼸,東,ɒŋ
492,鱅,東,ɒŋ
495,傛,東,ɒŋ
497,搈,東,ɒŋ
501,頌,東,ɒŋ
510,封,東,ɒŋ
513,葑,東,ɒŋ
515,胷,東,ɒŋ
516,凶,東,ɒŋ
518,銎,東,ɒŋ
519,洶,東,ɒŋ
522,兇,東,ɒŋ
523,訩,東,ɒŋ
524,匈,東,ɒŋ
525,顒,東,ɒŋ
527,鰅,東,ɒŋ
528,喁,東,ɒŋ
529,邕,東,ɒŋ
535,灉,東,ɒŋ
536,癰,東,ɒŋ
537,罋,東,ɒŋ
538,廱,東,ɒŋ
539,饔,東,ɒŋ
541,雝,東,ɒŋ
545,醲,中,ɔŋ
547,濃,中,ɔŋ
548,襛,中,ɔŋ
553,重,東,ɒŋ
554,穜,東,ɒŋ
555,緟,東,ɒŋ
560,從,東,ɒŋ
561,从,東,ɒŋ
564,傭,東,ɒŋ
570,逢,東,ɒŋ
571,縫,東,ɒŋ
575,夆,東,ɒŋ
577,捀,東,ɒŋ
579,鋒,東,ɒŋ
580,丰,東,ɒŋ
582,𢓱,東,ɒŋ
584,蠭,東,ɒŋ
589,㷭,東,ɒŋ
594,夆,東,ɒŋ
595,縱,東,ɒŋ
598,䡮,東,ɒŋ
599,樅,東,ɒŋ
604,茸,東,ɒŋ
605,䩸,東,ɒŋ
606,𩮙,東,ɒŋ
608,襛,中,ɔŋ
610,搑,東,ɒŋ
614,蛩,東,ɒŋ
615,邛,東,ɒŋ
626,桏,東,ɒŋ
630,鱅,東,ɒŋ
633,恭,東,ɒŋ
634,龔,東,ɒŋ
635,供,東,ɒŋ
638,共,東,ɒŋ
643,龏,東,ɒŋ
644,蜙,東,ɒŋ
650,樅,東,ɒŋ
651,鏦,東,ɒŋ
652,從,東,ɒŋ
654,䗥,東,ɒŋ
662,銎,東,ɒŋ
664,江,東,ɒŋ
665,扛,東,ɒŋ
666,杠,東,ɒŋ
672,玒,東,ɒŋ
673,𧢸,東,ɒŋ
675,厖,東,ɒŋ
676,駹,東,ɒŋ
678,尨,東,ɒŋ
679,浝,東,ɒŋ
680,哤,東,ɒŋ
681,牻,東,ɒŋ
697,囪,東,ɒŋ
698,䆫,東,ɒŋ
702,堫,東,ɒŋ
706,邦,東,ɒŋ
710,栙,中,ɔŋ
712,降,中,ɔŋ
713,缸,東,ɒŋ
716,夅,中,ɔŋ
725,雙,東,ɒŋ
728,𢥠,東,ɒŋ
732,龐,東,ɒŋ
745,控,東,ɒŋ
755,撞,東,ɒŋ
760,憃,東,ɒŋ
761,䚎,東,ɒŋ
772,支,佳,ə
774,只,佳,ə
775,汥,佳,ə
777,卮,佳,ə
779,枝,佳,ə
783,肢,佳,ə
784,胑,佳,ə
786,禔,佳,ə
787,馶,佳,ə
788,氏,佳,ə
789,疻,佳,ə
792,䧴,佳,ə
794,榰,脂,əl
801,移,歌,ʌl
803,迻,歌,ʌl
805,杝,歌,ʌl
806,鉹,歌,ʌl
810,㥴,佳,ə
811,詑,歌,ʌl
813,䔟,歌,ʌl
817,暆,歌,ʌl
818,迆,歌,ʌl
820,栘,歌,ʌl
822,酏,佳,ə
823,匜,佳,ə
827,蛇,歌,ʌl
833,爲,歌,ʌl
834,為,歌,ʌl
836,䧦,歌,ʌl
837,鄬,歌,ʌl
839,媯,歌,ʌl
844,撝,歌,ʌl
847,逶,微,ɔl
847,逶,歌,ʌl
848,𣨙,微,ɔl
849,萎,微,ɔl
851,覣,微,ɔl
853,痿,微,ɔl
854,倭,微,ɔl
855,委,微,ɔl
857,蟡,歌,ʌl
858,糜,歌,ʌl
859,縻,歌,ʌl
860,㸏,歌,ʌl
863,䊳,歌,ʌl
864,𪎭,歌,ʌl
871,觿,佳,ə
874,鑴,佳,ə
875,蘳,佳,ə
876,鬌,歌,ʌl
877,錘,歌,ʌl
880,垂,歌,ʌl
881,陲,歌,ʌl
883,𦈼,歌,ʌl
884,𨿠,歌,ʌl
889,羸,歌,ʌl
891,吹,歌,ʌl
892,炊,歌,ʌl
894,鈹,歌,ʌl
895,帔,歌,ʌl
896,鮍,歌,ʌl
897,披,歌,ʌl
902,旇,歌,ʌl
906,陂,歌,ʌl
907,詖,歌,ʌl
909,羆,歌,ʌl
911,𨰟,歌,ʌl
916,藣,歌,ʌl
917,隨,歌,ʌl
918,隋,歌,ʌl
920,虧,歌,ʌl
921,闚,佳,ə
922,窺,佳,ə
923,奇,歌,ʌl
924,琦,歌,ʌl
925,騎,歌,ʌl
932,錡,歌,ʌl
933,祇,佳,ə
936,岐,佳,ə
938,𨙸,佳,ə
939,馶,佳,ə
940,疧,佳,ə
941,蚑,佳,ə
942,忯,佳,ə
943,䞚,佳,ə
944,翄,佳,ə
946,軝,佳,ə
948,芪,佳,ə
949,汥,佳,ə
950,跂,佳,ə
952,蚔,佳,ə
955,伎,佳,ə
959,犧,歌,ʌl
960,羲,歌,ʌl
978,觭,歌,ʌl
979,踦,歌,ʌl
987,攲,歌,ʌl
988,宜,歌,ʌl
992,儀,歌,ʌl
994,䣡,歌,ʌl
995,䴊,歌,ʌl
996,轙,歌,ʌl
998,崖,佳,ə
999,皮,歌,ʌl
1000,疲,歌,ʌl
1002,罷,歌,ʌl
1005,提,佳,ə
1006,𦑡,佳,ə
1008,匙,佳,ə
1010,堤,佳,ə
1011,禔,佳,ə
1012,𦳚,佳,ə
1013,忯,佳,ə
1014,姼,歌,ʌl
1015,眂,佳,ə
1018,兒,佳,ə
1022,離,歌,ʌl
1024,醨,歌,ʌl
1027,酈,佳,ə
1028,𣀷,佳,ə
1029,驪,佳,ə
1035,縭,歌,ʌl
1037,蘺,歌,ʌl
1038,䕻,佳,ə
1039,麗,佳,ə
1040,离,歌,ʌl
1057,謧,歌,ʌl
1059,疵,佳,ə
1060,骴,佳＿,ə＿
1061,玼,佳,ə
1062,茈,佳,ə
1066,鴜,佳,ə
1068,貲,佳,ə
1069,頿,佳,ə
1070,鴜,佳,ə
1071,𪕊,佳,ə
1072,鮆,佳,ə
1073,訾,佳,ə
1074,鄑,脂,əl
1076,媊,歌,ʌl
1079,鈭,佳,ə
1080,姕,佳,ə
1083,觜,佳,ə
1084,羈,歌,ʌl
1085,畸,歌,ʌl
1087,掎,歌,ʌl
1088,攲,歌,ʌl
1089,奇,歌,ʌl
1090,㱦,歌,ʌl
1093,卑,佳,ə
1095,椑,佳,ə
1096,箄,佳,ə
1097,裨,佳,ə
1098,鞞,佳,ə
1099,𩔹,佳,ə
1100,庳,佳,ə
1102,錍,佳,ə
1104,陴,佳,ə
1107,脾,佳,ə
1109,埤,佳,ə
1111,蜱,佳,ə
1113,螷,佳,ə
1116,郫,佳,ə
1119,䌳,脂,əl
1121,施,歌,ʌl
1127,𪓿,脂,əl
1130,𢻱,歌,ʌl
1131,斯,佳,ə
1132,虒,佳,ə
1133,𩆵,歌,ʌl
1134,榹,佳,ə
1135,㴲,佳,ə
1138,凘,佳,ə
1149,䌳,脂,əl
1155,禠,佳,ə
1161,摛,歌,ʌl
1162,螭,歌,ʌl
1167,离,歌,ʌl
1174,镾,脂,əl
1175,䍘,脂,əl
1178,瓕,脂,əl
1188,雌,佳,ə
1190,姕,佳,ə
1191,鈭,佳,ə
1192,𦍧,佳,ə
1193,知,佳,ə
1194,䵹,佳,ə
1197,䣽,佳,ə
1200,猗,歌,ʌl
1201,椅,歌,ʌl
1202,旖,歌,ʌl
1204,陭,歌,ʌl
1209,檹,歌,ʌl
1210,馳,歌,ʌl
1211,趍,歌,ʌl
1212,池,歌,ʌl
1214,篪,佳,ə
1215,䶵,佳,ə
1217,褫,佳,ə
1220,誃,歌,ʌl
1222,䞾,佳,ə
1225,危,歌,ʌl
1226,㕒,歌,ʌl
1227,洈,歌,ʌl
1237,籭,佳,ə
1238,䪎,佳,ə
1240,痿,微,ɔl
1242,厜,歌,ʌl
1245,惢,歌,ʌl
1248,𩓸,佳,ə
1251,規,佳,ə
1252,鬹,佳,ə
1261,衰,微,ɔl
1262,夊,微,ɔl
1263,腄,歌,ʌl
1266,䮔,歌,ʌl
1267,眵,歌,ʌl
1268,䌳,脂,əl
1271,䔺,歌,ʌl
1273,蠵,佳,ə
1276,䝐,歌,ʌl
1278,脂,脂,əl
1279,祗,脂,əl
1280,泜,脂,əl
1281,砥,脂,əl
1283,鴲,脂,əl
1286,䓜,脂,əl
1288,姨,脂,əl
1289,彝,脂,əl
1291,夷,脂,əl
1295,㰘,脂,əl
1299,痍,脂,əl
1301,荑,脂,əl
1302,桋,脂,əl
1306,羠,脂,əl
1309,𢓡,脂,əl
1310,鴺,脂,əl
1313,洟,脂,əl
1314,師,脂,əl
1321,毗,脂,əl
1322,比,脂,əl
1324,㮰,脂,əl
1325,芘,脂,əl
1327,貔,脂,əl
1329,膍,脂,əl
1331,蚍,脂,əl
1333,枇,脂,əl
1338,𦳈,脂,əl
1343,咨,脂,əl
1344,資,脂,əl
1345,粢,脂,əl
1346,𪗉,脂,əl
1350,姿,脂,əl
1351,齍,脂,əl
1352,澬,脂,əl
1354,齎,脂,əl
1357,𩄚,脂,əl
1358,飢,脂,əl
1360,肌,脂,əl
1362,鴟,脂,əl
1365,胵,脂,əl
1369,絺,微,ɔl
1373,脪,微,ɔl
1379,趀,脂,əl
1385,茨,脂,əl
1386,薋,脂,əl
1387,薺,脂,əl
1388,餈,脂,əl
1390,垐,脂,əl
1391,䆅,脂,əl
1392,𧓉,脂,əl
1394,澬,脂,əl
1398,尼,脂,əl
1399,柅,脂,əl
1406,墀,脂,əl
1408,坻,脂,əl
1409,泜,脂,əl
1410,遲,脂,əl
1412,蚳,脂,əl
1415,阺,脂,əl
1416,荎,脂,əl
1417,菭,之,ɔɪ
1418,謘,脂,əl
1421,私,脂,əl
1423,厶,脂,əl
1425,㺨,脂,əl
1426,尸,脂,əl
1428,屍,脂,əl
1429,蓍,脂,əl
1432,耆,脂,əl
1437,祁,脂,əl
1440,鮨,脂,əl
1441,伊,脂,əl
1443,蛜,脂,əl
1446,棃,脂,əl
1447,梨,脂,əl
1449,秜,脂,əl
1452,犂,脂,əl
1454,𢤂,脂,əl
1456,鑗,脂,əl
1460,葵,脂,əl
1461,鄈,脂,əl
1468,追,微,ɔl
1471,龜,之,ɔɪ
1475,螝,微,ɔl
1476,騩,微,ɔl
1477,蕤,微,ɔl
1478,甤,微,ɔl
1479,緌,微,ɔl
1483,捼,微,ɔl
1487,惟,微,ɔl
1489,維,微,ɔl
1490,遺,微,ɔl
1491,濰,微,ɔl
1494,蓶,微,ɔl
1496,琟,微,ɔl
1497,唯,微,ɔl
1499,㶟,微,ɔl
1500,纍,微,ɔl
1501,虆,微,ɔl
1502,欙,微,ɔl
1510,儽,微,ɔl
1513,綏,微,ɔl
1514,雖,微,ɔl
1520,奞,微,ɔl
1521,夂,微,ɔl
1522,睢,微,ɔl
1525,逵,幽,ɔ
1526,夔,脂,əl
1529,戣,脂,əl
1531,騤,脂,əl
1536,䟸,幽,ɔ
1539,頯,幽,ɔ
1541,𧢦,微,ɔl
1542,𢌳,幽,ɔ
1544,眉,脂,əl
1547,湄,脂,əl
1550,楣,脂,əl
1551,瑂,脂,əl
1554,䉠,微,ɔl
1555,黴,微,ɔl
1556,麋,脂,əl
1557,蘪,脂,əl
1558,郿,脂,əl
1565,悲,微,ɔl
1566,錐,微,ɔl
1567,隹,微,ɔl
1569,騅,微,ɔl
1572,萑,微,ɔl
1573,鵻,微,ɔl
1574,誰,微,ɔl
1576,脽,微,ɔl
1577,帷,微,ɔl
1578,邳,之,ɔɪ
1582,魾,之,ɔɪ
1583,䫠,之,ɔɪ
1584,丕,之,ɔɪ
1586,伾,之,ɔɪ
1587,秠,之,ɔɪ
1589,駓,之,ɔɪ
1594,魾,之,ɔɪ
1597,婎,微,ɔl
1598,睢,微,ɔl
1603,椎,微,ɔl
1604,槌,微,ɔl
1606,顀,微,ɔl
1607,推,微,ɔl
1608,蓷,微,ɔl
1609,胝,脂,əl
1612,氐,脂,əl
1613,紕,脂,əl
1622,蘬,微,ɔl
1623,狋,脂,əl
1624,咦,脂,əl
1630,之,之,ɔɪ
1632,芝,之,ɔɪ
1634,飴,之,ɔɪ
1637,怡,之,ɔɪ
1639,媐,之,ɔɪ
1640,异,之,ɔɪ
1644,圯,之,ɔɪ
1646,巸,之,ɔɪ
1647,洍,之,ɔɪ
1648,𦣞,之,ɔɪ
1650,頤,之,ɔɪ
1651,詒,之,ɔɪ
1652,㺿,之,ɔɪ
1654,宧,之,ɔɪ
1657,姬,之,ɔɪ
1658,台,之,ɔɪ
1660,瓵,之,ɔɪ
1661,時,之,ɔɪ
1663,塒,之,ɔɪ
1664,鼭,之,ɔɪ
1666,蒔,之,ɔɪ
1668,疑,之,ɔɪ
1669,嶷,之,ɔɪ
1670,觺,之,ɔɪ
1671,思,之,ɔɪ
1673,司,之,ɔɪ
1676,絲,之,ɔɪ
1677,緦,之,ɔɪ
1681,㺇,之,ɔɪ
1684,偲,之,ɔɪ
1688,其,之,ɔɪ
1689,期,之,ɔɪ
1690,旗,之,ɔɪ
1691,綦,之,ɔɪ
1694,萁,之,ɔɪ
1698,麒,之,ɔɪ
1699,騏,之,ɔɪ
1700,淇,之,ɔɪ
1704,棊,之,ɔɪ
1707,𤪌,之,ɔɪ
1709,鯕,之,ɔɪ
1711,祺,之,ɔɪ
1716,𢍁,之,ɔɪ
1718,詩,之,ɔɪ
1719,邿,之,ɔɪ
1720,齝,之,ɔɪ
1724,而,之,ɔɪ
1725,栭,之,ɔɪ
1727,隭,蒸,ɔɪŋ
1729,陑,蒸,ɔɪŋ
1732,𨎪,之,ɔɪ
1735,胹,之,ɔɪ
1738,洏,之,ɔɪ
1739,鮞,之,ɔɪ
1742,䎠,之,ɔɪ
1745,欺,之,ɔɪ
1746,娸,之,ɔɪ
1748,䫏,之,ɔɪ
1751,僛,之,ɔɪ
1756,姬,之,ɔɪ
1757,朞,之,ɔɪ
1758,稘,之,ɔɪ
1759,基,之,ɔɪ
1760,箕,之,ɔɪ
1761,萁,之,ɔɪ
1762,䇫,之,ɔɪ
1763,諅,之,ɔɪ
1764,其,之,ɔɪ
1767,諆,之,ɔɪ
1768,詞,之,ɔɪ
1769,祠,之,ɔɪ
1771,辭,之,ɔɪ
1772,辤,之,ɔɪ
1775,釐,之,ɔɪ
1776,貍,之,ɔɪ
1779,嫠,之,ɔɪ
1780,剺,之,ɔɪ
1781,梩,之,ɔɪ
1782,犛,之,ɔɪ
1788,𢟤,之,ɔɪ
1794,𠭰,之,ɔɪ
1795,菑,之,ɔɪ
1796,甾,之,ɔɪ
1800,茬,之,ɔɪ
1801,輜,之,ɔɪ
1802,錙,之,ɔɪ
1803,鶅,之,ɔɪ
1804,緇,之,ɔɪ
1810,僖,之,ɔɪ
1811,歖,之,ɔɪ
1812,熙,之,ɔɪ
1814,禧,之,ɔɪ
1815,媐,之,ɔɪ
1817,𠩺,之,ɔɪ
1820,熹,之,ɔɪ
1823,娭,之,ɔɪ
1824,誒,之,ɔɪ
1825,醫,之,ɔɪ
1829,噫,之,ɔɪ
1830,唉,之,ɔɪ
1831,癡,之,ɔɪ
1832,齝,之,ɔɪ
1833,笞,之,ɔɪ
1835,治,之,ɔɪ
1836,持,之,ɔɪ
1838,蚩,之,ɔɪ
1842,𦐉,之,ɔɪ
1845,慈,之,ɔɪ
1847,鶿,之,ɔɪ
1849,茲,之,ɔɪ
1850,茲,之,ɔɪ
1851,孳,之,ɔɪ
1853,孜,之,ɔɪ
1854,滋,之,ɔɪ
1855,嗞,之,ɔɪ
1857,鎡,之,ɔɪ
1859,鼒,之,ɔɪ
1861,仔,之,ɔɪ
1862,鶿,之,ɔɪ
1864,茬,之,ɔɪ
1865,漦,之,ɔɪ
1868,微,微,ɔl
1869,𣁋,微,ɔl
1870,㵟,微,ɔl
1871,薇,微,ɔl
1872,䉠,微,ɔl
1876,揮,微,ɔl
1877,煇,微,ɔl
1880,徽,微,ɔl
1881,翬,微,ɔl
1882,褘,微,ɔl
1885,幑,微,ɔl
1889,幃,微,ɔl
1890,幃,微,ɔl
1891,韋,微,ɔl
1892,闈,微,ɔl
1893,圍,微,ɔl
1894,䙟,微,ɔl
1895,𩎯,微,ɔl
1896,違,微,ɔl
1897,湋,微,ɔl
1898,囗,微,ɔl
1900,潿,微,ɔl
1903,𢾁,微,ɔl
1906,妃,微,ɔl
1907,菲,微,ɔl
1908,䩁,微,ɔl
1909,婓,微,ɔl
1910,騑,微,ɔl
1912,𥇖,微,ɔl
1914,飛,微,ɔl
1918,非,微,ɔl
1921,騛,微,ɔl
1922,騑,微,ɔl
1923,誹,微,ɔl
1924,餥,微,ɔl
1925,肥,微,ɔl
1926,腓,微,ɔl
1930,痱,微,ɔl
1931,蜰,微,ɔl
1937,威,微,ɔl
1943,媁,微,ɔl
1944,楲,微,ɔl
1945,祈,微,ɔl
1946,頎,微,ɔl
1947,旂,微,ɔl
1948,𩴆,微,ɔl
1949,畿,微,ɔl
1954,刏,微,ɔl
1955,𧰙,微,ɔl
1956,𦠄,微,ɔl
1958,幾,微,ɔl
1959,蚚,微,ɔl
1961,蟣,微,ɔl
1964,蘄,微,ɔl
1965,機,微,ɔl
1966,譏,微,ɔl
1968,嘰,微,ɔl
1972,饑,微,ɔl
1974,幾,微,ɔl
1975,䟇,微,ɔl
1977,僟,微,ɔl
1978,璣,微,ɔl
1979,刏,微,ɔl
1980,𧗒,微,ɔl
1981,希,微,ɔl
1982,晞,微,ɔl
1983,莃,微,ɔl
1985,睎,微,ɔl
1991,俙,微,ɔl
1993,依,微,ɔl
1995,衣,微,ɔl
1997,㛄,微,ɔl
1999,䧇,微,ɔl
2000,㥋,微,ɔl
2001,沂,微,ɔl
2003,巍,微,ɔl
2005,歸,微,ɔl
2008,蘬,微,ɔl
2009,𧢦,微,ɔl
2010,魚,魚,ʌ
2012,漁,魚,ʌ
2019,衙,魚,ʌ
2020,初,魚,ʌ
2022,書,魚,ʌ
2025,舒,魚,ʌ
2027,紓,魚,ʌ
2029,居,魚,ʌ
2031,据,魚,ʌ
2032,裾,魚,ʌ
2033,琚,魚,ʌ
2036,車,魚,ʌ
2039,椐,魚,ʌ
2040,涺,魚,ʌ
2042,腒,魚,ʌ
2043,渠,魚,ʌ
2049,籧,魚,ʌ
2050,𥴧,魚,ʌ
2052,醵,魚,ʌ
2053,腒,魚,ʌ
2054,𪆫,魚,ʌ
2055,螶,魚,ʌ
2058,豦,魚,ʌ
2059,蘧,魚,ʌ
2065,𦼫,魚,ʌ
2069,余,魚,ʌ
2072,㶛,魚,ʌ
2073,餘,魚,ʌ
2075,旟,魚,ʌ
2076,鵌,魚,ʌ
2077,璵,魚,ʌ
2079,畬,魚,ʌ
2081,歟,魚,ʌ
2082,與,魚,ʌ
2083,譽,魚,ʌ
2084,嬩,魚,ʌ
2085,舁,魚,ʌ
2086,擧,魚,ʌ
2089,㦛,魚,ʌ
2090,𪋮,魚,ʌ
2091,予,魚,ʌ
2093,𩦡,魚,ʌ
2094,𧾚,魚,ʌ
2096,鸒,魚,ʌ
2097,雓,魚,ʌ
2098,胥,魚,ʌ
2099,䱬,魚,ʌ
2102,楈,魚,ʌ
2104,諝,魚,ʌ
2105,㥠,魚,ʌ
2106,湑,魚,ʌ
2107,蝑,魚,ʌ
2108,揟,魚,ʌ
2109,疽,魚,ʌ
2110,岨,魚,ʌ
2112,䢸,魚,ʌ
2113,趄,魚,ʌ
2114,苴,魚,ʌ
2115,沮,魚,ʌ
2116,狙,魚,ʌ
2118,蛆,魚,ʌ
2119,雎,魚,ʌ
2121,𣻐,魚,ʌ
2122,伹,魚,ʌ
2125,鉏,魚,ʌ
2127,耡,魚,ʌ
2128,豠,魚,ʌ
2133,筡,魚,ʌ
2135,疏,魚,ʌ
2136,梳,魚,ʌ
2144,𤴙,魚,ʌ
2145,疋,魚,ʌ
2146,虛,魚,ʌ
2149,噓,魚,ʌ
2150,魖,魚,ʌ
2152,徐,魚,ʌ
2153,䣄,魚,ʌ
2155,俆,魚,ʌ
2156,於,魚,ʌ
2159,淤,魚,ʌ
2161,豬,魚,ʌ
2166,藸,魚,ʌ
2167,臚,魚,ʌ
2169,䰕,魚,ʌ
2170,廬,魚,ʌ
2173,驢,魚,ʌ
2179,櫖,魚,ʌ
2184,諸,魚,ʌ
2187,藷,魚,ʌ
2191,除,魚,ʌ
2193,儲,魚,ʌ
2194,涂,魚,ʌ
2195,篨,魚,ʌ
2201,蒢,魚,ʌ
2202,屠,魚,ʌ
2204,如,魚,ʌ
2206,𨚴,魚,ʌ
2209,𨾵,魚,ʌ
2210,𡫽,魚,ʌ
2211,茹,魚,ʌ
2213,且,魚,ʌ
2215,苴,魚,ʌ
2216,沮,魚,ʌ
2220,𥬔,魚,ʌ
2221,袪,魚,ʌ
2222,阹,魚,ʌ
2224,胠,魚,ʌ
2225,魼,魚,ʌ
2228,㭕,魚,ʌ
2230,菹,魚,ʌ
2233,沮,魚,ʌ
2237,帤,魚,ʌ
2241,挐,魚,ʌ
2242,虞,魚,ʌ
2244,愚,侯,ɒ
2245,娛,魚,ʌ
2246,湡,侯,ɒ
2247,堣,侯,ɒ
2250,髃,侯,ɒ
2251,禺,侯,ɒ
2252,隅,侯,ɒ
2254,鰅,侯,ɒ
2257,𧍪,侯,ɒ
2262,芻,侯,ɒ
2263,犓,侯,ɒ
2264,無,魚,ʌ
2265,毋,魚,ʌ
2266,瞴,魚,ʌ
2267,膴,魚,ʌ
2268,蕪,魚,ʌ
2269,誣,魚,ʌ
2270,巫,魚,ʌ
2271,莁,魚,ʌ
2272,璑,魚,ʌ
2273,𨼊,魚,ʌ
2276,𦌬,魚,ʌ
2278,𢜮,侯,ɒ
2284,憮,魚,ʌ
2286,于,魚,ʌ
2287,迂,魚,ʌ
2288,盂,魚,ʌ
2289,邘,魚,ʌ
2290,雩,魚,ʌ
2292,竽,魚,ʌ
2293,玗,魚,ʌ
2294,芋,魚,ʌ
2297,杅,魚,ʌ
2299,𧘘,魚,ʌ
2301,𠌶,魚,ʌ
2302,謣,魚,ʌ
2303,䩒,魚,ʌ
2306,訏,魚,ʌ
2307,吁,魚,ʌ
2308,雩,魚,ʌ
2311,盱,魚,ʌ
2316,扜,魚,ʌ
2317,𠌶,魚,ʌ
2319,𢖳,魚,ʌ
2322,䩒,魚,ʌ
2325,𣚏,魚,ʌ
2326,衢,魚,ʌ
2328,軥,侯,ɒ
2330,胊,侯,ɒ
2332,臞,魚,ʌ
2334,鴝,侯,ɒ
