字頭,字頭,補充,古韻,擬音,,,,
憋,憋,,月,ʌt,,,,
䳤,䳤,,月,ʌt,,,,
鱉,鱉,,月,ʌt,,,,
䋢,䋢,,月,ʌt,,,,
𧆊,𧆊,,月,ʌt,,,,
咇（咇茀）,咇,（咇茀）,質,ət,,,,
䏟,䏟,,質,ət,,,,
莂,莂,,月,ʌt,,,,
别（別，分别）,别,（別，分别）,月,ʌt,,,,
别（別，離别）,别,（別，離别）,月,ʌt,,,,
蹩,蹩,,月,ʌt,,,,
蛂,蛂,,月,ʌt,,,,
襒,襒,,月,ʌt,,,,
𧝬,𧝬,,月,ʌt,,,,
徶（徶㣯）,徶,（徶㣯）,月,ʌt,,,,
潎（潎洌）,潎,（潎洌）,月,ʌt,,,,
瞥,瞥,,月,ʌt,,,,
嫳,嫳,,月,ʌt,,,,
鐅,鐅,,月,ʌt,,,,
撆（擊）,撆,（擊）,月,ʌt,,,,
撇,撇,,月,ʌt,,,,
丿,丿,,月,ʌt,,,,
覕,覕,,質,ət,,,,
滅,滅,,月,ʌt,,,,
搣,搣,,月,ʌt,,,,
蔑,蔑,,月,ʌt,,,,
懱,懱,,月,ʌt,,,,
𥋚,𥋚,,月,ʌt,,,,
蠛,蠛,,月,ʌt,,,,
篾,篾,,月,ʌt,,,,
幭,幭,,月,ʌt,,,,
鱴,鱴,,月,ʌt,,,,
衊,衊,,月,ʌt,,,,
𤊾,𤊾,,月,ʌt,,,,
𥣫,𥣫,,月,ʌt,,,,
瀎（瀎潏）,瀎,（瀎潏）,月,ʌt,,,,
䁾,䁾,,月,ʌt,,,,
約,約,,藥,ok,,,,
葯（草名，即白芷）,葯,（草名，即白芷）,藥,ok,,,,
曰,曰,,月,ʌt,,,,
䆕,䆕,,月,ʌt,,,,
𥈾,𥈾,,月,ʌt,,,,
䆢,䆢,,月,ʌt,,,,
噦（乾嘔）,噦,（乾嘔）,月,ʌt,,,,
𪑲,𪑲,,月,ʌt,,,,
躍,躍,,藥,ok,,,,
礿,礿,,藥,ok,,,,
禴,禴,,藥,ok,,,,
蘥,蘥,,藥,ok,,,,
鑰,鑰,,藥,ok,,,,
𩱲,𩱲,,藥,ok,,,,
瀹,瀹,,藥,ok,,,,
燴,燴,,藥,ok,,,,
龠,龠,,藥,ok,,,,
䋤,䋤,,藥,ok,,,,
𠨲,𠨲,,藥,ok,,,,
籥,籥,,藥,ok,,,,
䟑,䟑,,藥,ok,,,,
𨷲,𨷲,,藥,ok,,,,
趯（踊）,趯,（踊）,藥,ok,,,,
樂（音樂）,樂,（音樂）,藥,ok,,,,
㹊,㹊,,藥,ok,,,,
嶽,嶽,,屋,ɒk,,,,
岳,岳,,屋,ɒk,,,,
鸑,鸑,,屋,ɒk,,,,
𩓥,𩓥,,屋,ɒk,,,,
矱,矱,,鐸,ʌk,,,,
籰,籰,,鐸,ʌk,,,,
籆,籆,,鐸,ʌk,,,,
越,越,,月,ʌt,,,,
𨒋,𨒋,,月,ʌt,,,,
粤（粵）,粤,（粵）,月,ʌt,,,,
戉,戉,,月,ʌt,,,,
鉞,鉞,,月,ʌt,,,,
䋐,䋐,,月,ʌt,,,,
樾,樾,,月,ʌt,,,,
,,,月,ʌt,,,,
䟠（輕）,䟠,（輕）,月,ʌt,,,,
妜,妜,,月,ʌt,,,,
悦（悅）,悦,（悅）,月,ʌt,,,,
説（說，喜）,説,（說，喜）,月,ʌt,,,,
閲（閱）,閲,（閱）,月,ʌt,,,,
兑（兌，兑命）,兑,（兌，兑命）,月,ʌt,,,,
𪁑,𪁑,,月,ʌt,,,,
月,月,,月,ʌt,,,,
刖,刖,,月,ʌt,,,,
跀,跀,,月,ʌt,,,,
抈,抈,,月,ʌt,,,,
䎳,䎳,,月,ʌt,,,,
嗟*,嗟*,,歌,ʌl,,,,
覺（覺悟）,覺,（覺悟）,覺,ɔk,,,,
梏（直）,梏,（直）,覺,ɔk,,,,
覺（睡醒）,覺,（睡醒）,覺,ɔk,,,,
較（車較也）,較,（車較也）,藥,ok,,,,
䡈,䡈,,藥,ok,,,,
蹻（草鞋）,蹻,（草鞋）,藥,ok,,,,
屩,屩,,藥,ok,,,,
爵,爵,,藥,ok,,,,
爝,爝,,藥,ok,,,,
角*,角*,,屋,ɒk,,,,
桷,桷,,屋,ɒk,,,,
珏,珏,,屋,ɒk,,,,
瑴,瑴,,屋,ɒk,,,,
捔,捔,,屋,ɒk,,,,
腳*,腳*,,鐸,ʌk,,,,
脚*,脚*,,鐸,ʌk,,,,
谻,谻,,鐸,ʌk,,,,
噱,噱,,鐸,ʌk,,,,
𠊬,𠊬,,鐸,ʌk,,,,
𧍕,𧍕,,鐸,ʌk,,,,
𧮫（口上阿）,𧮫,（口上阿）,鐸,ʌk,,,,
臄,臄,,鐸,ʌk,,,,
玃,玃,,鐸,ʌk,,,,
貜,貜,,鐸,ʌk,,,,
𧾵,𧾵,,鐸,ʌk,,,,
钁,钁,,鐸,ʌk,,,,
攫,攫,,鐸,ʌk,,,,
矍,矍,,鐸,ʌk,,,,
彏,彏,,鐸,ʌk,,,,
躩,躩,,鐸,ʌk,,,,
欔,欔,,鐸,ʌk,,,,
潏（水涌出）,潏,（水涌出）,質,ət,,,,
譎,譎,,質,ət,,,,
觼,觼,,質,ət,,,,
鐍,鐍,,質,ət,,,,
憰,憰,,質,ət,,,,
泬（潏，水名）,泬,（潏，水名）,質,ət,,,,
僪,僪,,質,ət,,,,
屈（窮）,屈,（窮）,物,ɔt,,,,
鶌,鶌,,物,ɔt,,,,
趉,趉,,物,ɔt,,,,
𠜾,𠜾,,物,ɔt,,,,
倔,倔,,物,ɔt,,,,
崛,崛,,物,ɔt,,,,
䘿,䘿,,物,ɔt,,,,
掘,掘,,物,ɔt,,,,
厥,厥,,月,ʌt,,,,
氒,氒,,月,ʌt,,,,
蹶（跌倒）,蹶,（跌倒）,月,ʌt,,,,
𧽸,𧽸,,月,ʌt,,,,
瘚,瘚,,月,ʌt,,,,
劂,劂,,月,ʌt,,,,
蕨,蕨,,月,ʌt,,,,
蟨,蟨,,月,ʌt,,,,
𠢤,𠢤,,月,ʌt,,,,
撅,撅,,月,ʌt,,,,
鱖（鱖歸，小魚）,鱖,（鱖歸，小魚）,月,ʌt,,,,
孓,孓,,月,ʌt,,,,
𠄌,𠄌,,月,ʌt,,,,
𩪗,𩪗,,月,ʌt,,,,
嶡,嶡,,月,ʌt,,,,
𧤼,𧤼,,月,ʌt,,,,
鷢,鷢,,月,ʌt,,,,
橛,橛,,月,ʌt,,,,
撅（拔起）,撅,（拔起）,月,ʌt,,,,
蹷,蹷,,月,ʌt,,,,
亅,亅,,月,ʌt,,,,
蕝,蕝,,月,ʌt,,,,
絶,絶,,月,ʌt,,,,
𢇍,𢇍,,月,ʌt,,,,
玦,玦,,月,ʌt,,,,
䀗,䀗,,月,ʌt,,,,
訣,訣,,月,ʌt,,,,
駃,駃,,月,ʌt,,,,
芵,芵,,月,ʌt,,,,
赽,赽,,月,ʌt,,,,
鴂,鴂,,月,ʌt,,,,
鈌,鈌,,月,ʌt,,,,
𣬎,𣬎,,月,ʌt,,,,
決（决斷）,決,（决斷）,月,ʌt,,,,
觖,觖,,月,ʌt,,,,
疦,疦,,月,ʌt,,,,
蚗,蚗,,月,ʌt,,,,
趹,趹,,月,ʌt,,,,
䏐,䏐,,月,ʌt,,,,
抉,抉,,月,ʌt,,,,
闕（缺失，姓）,闕,（缺失，姓）,月,ʌt,,,,
缺,缺,,月,ʌt,,,,
蒛,蒛,,月,ʌt,,,,
礐,礐,,覺,ɔk,,,,
硞,硞,,覺,ɔk,,,,
榷,榷,,藥,ok,,,,
搉,搉,,藥,ok,,,,
確,確,,藥,ok,,,,
塙,塙,,藥,ok,,,,
㴶,㴶,,藥,ok,,,,
雀,雀,,藥,ok,,,,
𢡱,𢡱,,屋,ɒk,,,,
觳（儉薄）,觳,（儉薄）,屋,ɒk,,,,
埆,埆,,屋,ɒk,,,,
确（埆）,确,（埆）,屋,ɒk,,,,
确（埆）,确,（埆）,屋,ɒk,,,,
恪*,恪*,,鐸,ʌk,,,,
卻,卻,,鐸,ʌk,,,,
鵲,鵲,,鐸,ʌk,,,,
䧿,䧿,,鐸,ʌk,,,,
舄（鳥名，即“鵲”）,舄,（鳥名，即“鵲”）,鐸,ʌk,,,,
趞,趞,,鐸,ʌk,,,,
碏,碏,,鐸,ʌk,,,,
䇎,䇎,,鐸,ʌk,,,,
闋,闋,,質,ət,,,,
闕（宫闕）,闕,（宫闕）,月,ʌt,,,,
削（用刀削）,削,（用刀削）,藥,ok,,,,
鞾（靴）,鞾,（靴）,魚,ʌ,,,,
薛,薛,,月,ʌt,,,,
辥,辥,,月,ʌt,,,,
㡜,㡜,,月,ʌt,,,,
㔎,㔎,,月,ʌt,,,,
𧃎,𧃎,,月,ʌt,,,,
𨇨,𨇨,,月,ʌt,,,,
學,學,,覺,ɔk,,,,
鷽,鷽,,覺,ɔk,,,,
澩,澩,,覺,ɔk,,,,
觷,觷,,覺,ɔk,,,,
雪,雪,,月,ʌt,,,,
𤀰,𤀰,,藥,ok,,,,
謔,謔,,藥,ok,,,,
戄,戄,,鐸,ʌk,,,,
血,血,,質,ət,,,,
䆷,䆷,,質,ət,,,,
泬（泬寥）,泬,（泬寥）,質,ət,,,,
瞲,瞲,,質,ət,,,,
䒸,䒸,,質,ət,,,,
穴,穴,,質,ət,,,,
䋉,䋉,,質,ət,,,,
袕,袕,,質,ət,,,,
𩖶,𩖶,,物,ɔt,,,,
𥄎,𥄎,,月,ʌt,,,,
烕,烕,,月,ʌt,,,,
吷,吷,,月,ʌt,,,,
狘,狘,,月,ʌt,,,,
決（快疾貌）,決,（快疾貌）,月,ʌt,,,,
虐,虐,,藥,ok,,,,
瘧,瘧,,藥,ok,,,,
略,略,,鐸,ʌk,,,,
㗉,㗉,,鐸,ʌk,,,,
𧎾,𧎾,,鐸,ʌk,,,,
掠,掠,,陽,ʌŋ,,,,
掠,掠,,陽,ʌŋ,,,,
擽（擊）,擽,（擊）,藥,ok,,,,
之,之,,之,ɔɪ,,,,
芝,芝,,之,ɔɪ,,,,
㞢,㞢,,之,ɔɪ,,,,
戠,戠,,職,ɔɪk,,,,
織,織,,職,ɔɪk,,,,
隻,隻,,鐸,ʌk,,,,
知,知,,支,ə,,,,
䵹,䵹,,支,ə,,,,
鼅,鼅,,支,ə,,,,
蜘,蜘,,支,ə,,,,
支,支,,支,ə,,,,
汥,汥,,支,ə,,,,
巵（卮）,巵,（卮）,支,ə,,,,
梔,梔,,支,ə,,,,
枝,枝,,支,ə,,,,
祇*,祇*,,支,ə,,,,
肢,肢,,支,ə,,,,
胑,胑,,支,ə,,,,
馶,馶,,支,ə,,,,
氏（月氏）,氏,（月氏）,支,ə,,,,
疻,疻,,支,ə,,,,
㩼,㩼,,支,ə,,,,
鳷,鳷,,支,ə,,,,
䧴,䧴,,支,ə,,,,
秖（只）,秖,（只）,支,ə,,,,
胝（胼胝）,胝,（胼胝）,脂,əl,,,,
秪（穀始熟，只）,秪,（穀始熟，只）,脂,əl,,,,
榰,榰,,脂,əl,,,,
脂,脂,,脂,əl,,,,
祗（敬）,祗,（敬）,脂,əl,,,,
鴲,鴲,,脂,əl,,,,
泜（水名）,泜,（水名）,脂,əl,,,,
䓜,䓜,,脂,əl,,,,
汁（液）,汁,（液）,緝,ɔp,,,,
值,值,,職,ɔɪk,,,,
稙,稙,,職,ɔɪk,,,,
直,直,,職,ɔɪk,,,,
犆（緣飾）,犆,（緣飾）,職,ɔɪk,,,,
䐈,䐈,,職,ɔɪk,,,,
職,職,,職,ɔɪk,,,,
膱,膱,,職,ɔɪk,,,,
蟙,蟙,,職,ɔɪk,,,,
蘵,蘵,,職,ɔɪk,,,,
樴,樴,,職,ɔɪk,,,,
殖,殖,,職,ɔɪk,,,,
植,植,,職,ɔɪk,,,,
埴,埴,,職,ɔɪk,,,,
摭,摭,,鐸,ʌk,,,,
蹠,蹠,,鐸,ʌk,,,,
跖,跖,,鐸,ʌk,,,,
躑,躑,,錫,ək,,,,
䵂,䵂,,錫,ək,,,,
姪,姪,,質,ət,,,,
𪗨,𪗨,,物,ɔt,,,,
縶,縶,,緝,ɔp,,,,
馽,馽,,緝,ɔp,,,,
蟄*,蟄*,,緝,ɔp,,,,
執,執,,緝,ɔp,,,,
慹（畏懼）,慹,（畏懼）,緝,ɔp,,,,
𢾫,𢾫,,之,ɔɪ,,,,
徵（五音之一）,徵,（五音之一）,之,ɔɪ,,,,
祉,祉,,之,ɔɪ,,,,
止,止,,之,ɔɪ,,,,
沚,沚,,之,ɔɪ,,,,
茝（香草）,茝,（香草）,之,ɔɪ,,,,
趾,趾,,之,ɔɪ,,,,
址,址,,之,ɔɪ,,,,
阯,阯,,之,ɔɪ,,,,
芷,芷,,之,ɔɪ,,,,
祇（只）,祇,（只）,支,ə,,,,
紙,紙,,支,ə,,,,
只,只,,支,ə,,,,
坻,坻,,支,ə,,,,
軹,軹,,支,ə,,,,
枳,枳,,支,ə,,,,
咫,咫,,支,ə,,,,
扺,扺,,支,ə,,,,
坁（浮土）,坁,（浮土）,支,ə,,,,
汦,汦,,支,ə,,,,
抧,抧,,支,ə,,,,
䅩,䅩,,支,ə,,,,
䳅,䳅,,支,ə,,,,
黹,黹,,脂,əl,,,,
夂,夂,,脂,əl,,,,
𧝉,𧝉,,脂,əl,,,,
旨,旨,,脂,əl,,,,
指,指,,脂,əl,,,,
恉,恉,,脂,əl,,,,
䛗,䛗,,脂,əl,,,,
厎,厎,,脂,əl,,,,
滍,滍,,之,ɔɪ,,,,
歭（具）,歭,（具）,之,ɔɪ,,,,
跱,跱,,之,ɔɪ,,,,
峙,峙,,之,ɔɪ,,,,
痔,痔,,之,ɔɪ,,,,
洔,洔,,之,ɔɪ,,,,
畤,畤,,之,ɔɪ,,,,
庤,庤,,之,ɔɪ,,,,
偫,偫,,之,ɔɪ,,,,
治,治,,之,ɔɪ,,,,
志,志,,之,ɔɪ,,,,
置,置,,職,ɔɪk,,,,
織（采帛）,織,（采帛）,職,ɔɪk,,,,
識（記，記號）,識,（記，記號）,職,ɔɪk,,,,
幟,幟,,職,ɔɪk,,,,
幟,幟,,職,ɔɪk,,,,
陟,陟,,職,ɔɪk,,,,
騭,騭,,職,ɔɪk,,,,
炙,炙,,鐸,ʌk,,,,
拓（拾）,拓,（拾）,鐸,ʌk,,,,
智,智,,支,ə,,,,
知（智）,知,（智）,支,ə,,,,
豸,豸,,支,ə,,,,
踶（踶跂）,踶,（踶跂）,支,ə,,,,
䚦,䚦,,支,ə,,,,
廌,廌,,支,ə,,,,
忮,忮,,支,ə,,,,
觶,觶,,支,ə,,,,
伿,伿,,支,ə,,,,
觗,觗,,支,ə,,,,
擿（擲，搔）,擿,（擲，搔）,錫,ək,,,,
蹢（蹢躅）,蹢,（蹢躅）,錫,ək,,,,
寘,寘,,脂,əl,,,,
雉,雉,,脂,əl,,,,
稚,稚,,脂,əl,,,,
遟（遲，待）,遟,（遲，待）,脂,əl,,,,
稺,稺,,脂,əl,,,,
𢴧,𢴧,,脂,əl,,,,
穉（稺，幼）,穉,（稺，幼）,脂,əl,,,,
𩊝,𩊝,,脂,əl,,,,
致,致,,質,ət,,,,
懫,懫,,質,ət,,,,
𤴡（疐）,𤴡,（疐）,質,ət,,,,
躓,躓,,質,ət,,,,
輊,輊,,質,ət,,,,
懥,懥,,質,ət,,,,
㨖,㨖,,質,ət,,,,
質（交質）,質,（交質）,質,ət,,,,
駤,駤,,質,ət,,,,
緻,緻,,質,ət,,,,
䦯,䦯,,質,ət,,,,
至,至,,質,ət,,,,
窒,窒,,質,ət,,,,
庢,庢,,質,ət,,,,
銍,銍,,質,ət,,,,
挃,挃,,質,ət,,,,
𪗻,𪗻,,質,ət,,,,
𨖹,𨖹,,質,ət,,,,
螲,螲,,質,ət,,,,
秩,秩,,質,ət,,,,
紩,紩,,質,ət,,,,
帙,帙,,質,ət,,,,
袠,袠,,質,ət,,,,
柣（門檻）,柣,（門檻）,質,ət,,,,
翐,翐,,質,ət,,,,
豑,豑,,質,ət,,,,
𢧤（𢧜）,𢧤,（𢧜）,質,ət,,,,
䟈,䟈,,質,ət,,,,
臷,臷,,質,ət,,,,
櫛,櫛,,質,ət,,,,
楖,楖,,質,ət,,,,
瀄,瀄,,質,ət,,,,
㘉,㘉,,質,ət,,,,
質（本質）,質,（本質）,質,ət,,,,
晊,晊,,質,ət,,,,
郅,郅,,質,ət,,,,
桎,桎,,質,ət,,,,
蛭,蛭,,質,ət,,,,
鑕,鑕,,質,ət,,,,
𡂒,𡂒,,質,ət,,,,
礩,礩,,質,ət,,,,
侄（堅）,侄,（堅）,質,ət,,,,
杝（劈）,杝,（劈）,歌,ʌl,,,,
阤,阤,,歌,ʌl,,,,
𨫔,𨫔,,月,ʌt,,,,
𢄢,𢄢,,月,ʌt,,,,
滯,滯,,月,ʌt,,,,
彘,彘,,月,ʌt,,,,
璏,璏,,月,ʌt,,,,
𦭮,𦭮,,月,ʌt,,,,
制,制,,月,ʌt,,,,
製,製,,月,ʌt,,,,
狾,狾,,月,ʌt,,,,
迣,迣,,月,ʌt,,,,
猘,猘,,月,ʌt,,,,
瘈,瘈,,月,ʌt,,,,
𨎌,𨎌,,緝,ɔp,,,,
騺,騺,,緝,ɔp,,,,
摯,摯,,緝,ɔp,,,,
贄,贄,,緝,ɔp,,,,
鷙,鷙,,緝,ɔp,,,,
𡠗,𡠗,,緝,ɔp,,,,
癡,癡,,之,ɔɪ,,,,
齝,齝,,之,ɔɪ,,,,
笞,笞,,之,ɔɪ,,,,
誺（不知）,誺,（不知）,之,ɔɪ,,,,
蚩,蚩,,之,ɔɪ,,,,
嗤,嗤,,之,ɔɪ,,,,
媸,媸,,之,ɔɪ,,,,
𦐉,𦐉,,之,ɔɪ,,,,
鴟,鴟,,脂,əl,,,,
胵,胵,,脂,əl,,,,
絺,絺,,微,ɔl,,,,
郗,郗,,微,ɔl,,,,
吃（口吃）,吃,（口吃）,物,ɔt,,,,
摛,摛,,歌,ʌl,,,,
螭,螭,,歌,ʌl,,,,
魑,魑,,歌,ʌl,,,,
离,离,,歌,ʌl,,,,
攡,攡,,歌,ʌl,,,,
瞝,瞝,,歌,ʌl,,,,
眵,眵,,歌,ʌl,,,,
治（古水名）,治,（古水名）,之,ɔɪ,,,,
持,持,,之,ɔɪ,,,,
歭（歭䠧）,歭,（歭䠧）,之,ɔɪ,,,,
茬,茬,,之,ɔɪ,,,,
漦,漦,,之,ɔɪ,,,,
篪,篪,,支,ə,,,,
䶵,䶵,,支,ə,,,,
踟,踟,,支,ə,,,,
傂,傂,,支,ə,,,,
䞾,䞾,,支,ə,,,,
匙,匙,,支,ə,,,,
𦳚,𦳚,,支,ə,,,,
眂,眂,,支,ə,,,,
墀,墀,,脂,əl,,,,
坻,坻,,脂,əl,,,,
泜,泜,,脂,əl,,,,
遲（徐）,遲,（徐）,脂,əl,,,,
遟,遟,,脂,əl,,,,
蚳,蚳,,脂,əl,,,,
謘,謘,,脂,əl,,,,
貾,貾,,脂,əl,,,,
䜄,䜄,,脂,əl,,,,
穉*,穉*,,脂,əl,,,,
馳,馳,,歌,ʌl,,,,
趍,趍,,歌,ʌl,,,,
池,池,,歌,ʌl,,,,
竾,竾,,歌,ʌl,,,,
拸,拸,,歌,ʌl,,,,
弛,弛,,歌,ʌl,,,,
㢮,㢮,,歌,ʌl,,,,
恥,恥,,之,ɔɪ,,,,
齒,齒,,之,ɔɪ,,,,
尺,尺,,鐸,ʌk,,,,
蚇,蚇,,鐸,ʌk,,,,
褫,褫,,支,ə,,,,
𧰲,𧰲,,支,ə,,,,
豉,豉,,支,ə,,,,
扡（析）,扡,（析）,歌,ʌl,,,,
胣,胣,,歌,ʌl,,,,
侈,侈,,歌,ʌl,,,,
姼（美）,姼,（美）,歌,ʌl,,,,
鉹,鉹,,歌,ʌl,,,,
誃（離别）,誃,（離别）,歌,ʌl,,,,
㢋,㢋,,歌,ʌl,,,,
垑,垑,,歌,ʌl,,,,
袳,袳,,歌,ʌl,,,,
袲,袲,,歌,ʌl,,,,
恀,恀,,歌,ʌl,,,,
哆,哆,,歌,ʌl,,,,
眙,眙,,之,ɔɪ,,,,
饎,饎,,之,ɔɪ,,,,
糦,糦,,之,ɔɪ,,,,
敕,敕,,職,ɔɪk,,,,
飭,飭,,職,ɔɪk,,,,
淔,淔,,職,ɔɪk,,,,
𧾰,𧾰,,職,ɔɪk,,,,
侙,侙,,職,ɔɪk,,,,
勑（敕）,勑,（敕）,職,ɔɪk,,,,
瀷（瀷淢）,瀷,（瀷淢）,職,ɔɪk,,,,
熾,熾,,職,ɔɪk,,,,
彳,彳,,鐸,ʌk,,,,
赤,赤,,鐸,ʌk,,,,
㡿,㡿,,鐸,ʌk,,,,
斥,斥,,鐸,ʌk,,,,
翅,翅,,支,ə,,,,
翄,翄,,支,ə,,,,
𦐊,𦐊,,支,ə,,,,
翨,翨,,支,ə,,,,
啻,啻,,錫,ək,,,,
杘,杘,,脂,əl,,,,
𦥊,𦥊,,質,ət,,,,
叱,叱,,質,ət,,,,
䰡,䰡,,質,ət,,,,
抶,抶,,質,ət,,,,
痓,痓,,質,ət,,,,
㓼,㓼,,質,ət,,,,
𧼪,𧼪,,月,ʌt,,,,
傺,傺,,月,ʌt,,,,
䟷,䟷,,月,ʌt,,,,
瘛（瘈）,瘛,（瘈）,月,ʌt,,,,
懘,懘,,月,ʌt,,,,
痸,痸,,月,ʌt,,,,
𤸪,𤸪,,月,ʌt,,,,
𢜳,𢜳,,月,ʌt,,,,
湁,湁,,緝,ɔp,,,,
㙷（低窪地）,㙷,（低窪地）,緝,ɔp,,,,
詩,詩,,之,ɔɪ,,,,
邿,邿,,之,ɔɪ,,,,
釃（濾酒）,釃,（濾酒）,支,ə,,,,
䌳,䌳,,支,ə,,,,
𪓿,𪓿,,支,ə,,,,
師,師,,脂,əl,,,,
獅,獅,,脂,əl,,,,
尸,尸,,脂,əl,,,,
鳲,鳲,,脂,əl,,,,
屍,屍,,脂,əl,,,,
蓍,蓍,,脂,əl,,,,
蝨,蝨,,質,ət,,,,
失,失,,質,ət,,,,
施（施行）,施,（施行）,歌,ʌl,,,,
葹,葹,,歌,ʌl,,,,
䙾,䙾,,歌,ʌl,,,,
鍦,鍦,,歌,ʌl,,,,
䗐,䗐,,歌,ʌl,,,,
𢻱,𢻱,,歌,ʌl,,,,
溼,溼,,緝,ɔp,,,,
濕（潮溼）,濕,（潮溼）,緝,ɔp,,,,
時,時,,之,ɔɪ,,,,
旹,旹,,之,ɔɪ,,,,
塒,塒,,之,ɔɪ,,,,
鼭,鼭,,之,ɔɪ,,,,
榯,榯,,之,ɔɪ,,,,
蒔（蒔蘿）,蒔,（蒔蘿）,之,ɔɪ,,,,
食,食,,職,ɔɪk,,,,
蝕,蝕,,職,ɔɪk,,,,
識（認識，見解）,識,（認識，見解）,職,ɔɪk,,,,
石,石,,鐸,ʌk,,,,
碩*（大）,碩*,（大）,鐸,ʌk,,,,
祏,祏,,鐸,ʌk,,,,
䄷,䄷,,鐸,ʌk,,,,
鼫,鼫,,鐸,ʌk,,,,
提（提提，羣飛貌）,提,（提提，羣飛貌）,支,ə,,,,
䈕,䈕,,支,ə,,,,
示（姓）,示,（姓）,支,ə,,,,
寔,寔,,錫,ək,,,,
湜,湜,,錫,ək,,,,
實,實,,質,ət,,,,
姼（母姼）,姼,（母姼）,歌,ʌl,,,,
十,十,,緝,ɔp,,,,
什,什,,緝,ɔp,,,,
拾（拾取）,拾,（拾取）,緝,ɔp,,,,
汁（汁方，地名）,汁,（汁方，地名）,緝,ɔp,,,,
史,史,,之,ɔɪ,,,,
使（使令）,使,（使令）,之,ɔɪ,,,,
駛,駛,,之,ɔɪ,,,,
始,始,,之,ɔɪ,,,,
豕,豕,,支,ə,,,,
纚*,纚*,,支,ə,,,,
釃（分流）,釃,（分流）,支,ə,,,,
矢,矢,,脂,əl,,,,
𦳊,𦳊,,脂,əl,,,,
屎（糞）,屎,（糞）,脂,əl,,,,
䒨（菜）,䒨,（菜）,脂,əl,,,,
弛*,弛*,,歌,ʌl,,,,
㢮,㢮,,歌,ʌl,,,,
士,士,,之,ɔɪ,,,,
仕,仕,,之,ɔɪ,,,,
𣐈（柿）,𣐈,（柿）,之,ɔɪ,,,,
戺（巸）,戺,（巸）,之,ɔɪ,,,,
事,事,,之,ɔɪ,,,,
使（出使）,使,（出使）,之,ɔɪ,,,,
市,市,,之,ɔɪ,,,,
恃,恃,,之,ɔɪ,,,,
侍,侍,,之,ɔɪ,,,,
蒔（移栽）,蒔,（移栽）,之,ɔɪ,,,,
試,試,,職,ɔɪk,,,,
弑,弑,,職,ɔɪk,,,,
僿,僿,,職,ɔɪk,,,,
式,式,,職,ɔɪk,,,,
拭,拭,,職,ɔɪk,,,,
軾,軾,,職,ɔɪk,,,,
飾,飾,,職,ɔɪk,,,,
栻,栻,,職,ɔɪk,,,,
奭（𡚐）,奭,（𡚐）,職,ɔɪk,,,,
襫,襫,,職,ɔɪk,,,,
釋,釋,,鐸,ʌk,,,,
𥼶,𥼶,,鐸,ʌk,,,,
螫,螫,,鐸,ʌk,,,,
是,是,,支,ə,,,,
氏,氏,,支,ə,,,,
媞（母）,媞,（母）,支,ə,,,,
諟,諟,,支,ə,,,,
徥,徥,,支,ə,,,,
䟗,䟗,,支,ə,,,,
舓,舓,,支,ə,,,,
𦧇,𦧇,,支,ə,,,,
舐,舐,,支,ə,,,,
諡,諡,,錫,ək,,,,
謚,謚,,錫,ək,,,,
適（往）,適,（往）,錫,ək,,,,
睗,睗,,錫,ək,,,,
晹,晹,,錫,ək,,,,
冟,冟,,錫,ək,,,,
視,視,,脂,əl,,,,
眡,眡,,脂,əl,,,,
眎,眎,,脂,əl,,,,
示,示,,脂,əl,,,,
嗜,嗜,,脂,əl,,,,
室,室,,質,ət,,,,
𤜣（𤜣狼）,𤜣,（𤜣狼）,歌,ʌl,,,,
世,世,,月,ʌt,,,,
勢,勢,,月,ʌt,,,,
貰,貰,,月,ʌt,,,,
逝,逝,,月,ʌt,,,,
忕,忕,,月,ʌt,,,,
觢,觢,,月,ʌt,,,,
噬,噬,,月,ʌt,,,,
誓,誓,,月,ʌt,,,,
筮,筮,,月,ʌt,,,,
𥰫,𥰫,,月,ʌt,,,,
澨,澨,,月,ʌt,,,,
銴,銴,,月,ʌt,,,,
遾,遾,,月,ʌt,,,,
日,日,,質,ət,,,,
馹,馹,,質,ət,,,,
衵,衵,,質,ət,,,,
臸,臸,,質,ət,,,,
兹（茲）,兹,（茲）,之,ɔɪ,,,,
孳,孳,,之,ɔɪ,,,,
嵫,嵫,,之,ɔɪ,,,,
孜,孜,,之,ɔɪ,,,,
滋,滋,,之,ɔɪ,,,,
嗞,嗞,,之,ɔɪ,,,,
鎡,鎡,,之,ɔɪ,,,,
鼒,鼒,,之,ɔɪ,,,,
鰦,鰦,,之,ɔɪ,,,,
仔（仔肩）,仔,（仔肩）,之,ɔɪ,,,,
菑（初耕地）,菑,（初耕地）,之,ɔɪ,,,,
甾,甾,,之,ɔɪ,,,,
淄,淄,,之,ɔɪ,,,,
輜,輜,,之,ɔɪ,,,,
錙,錙,,之,ɔɪ,,,,
鶅,鶅,,之,ɔɪ,,,,
緇,緇,,之,ɔɪ,,,,
䊷,䊷,,之,ɔɪ,,,,
椔,椔,,之,ɔɪ,,,,
𡸟,𡸟,,之,ɔɪ,,,,
貲,貲,,支,ə,,,,
頿,頿,,支,ə,,,,
髭,髭,,支,ə,,,,
鴜,鴜,,支,ə,,,,
𪕊,𪕊,,支,ə,,,,
鮆,鮆,,支,ə,,,,
訾（衡量）,訾,（衡量）,支,ə,,,,
