字頭,字頭,補充,古韻,擬音,,,,
㧺,㧺,,緝,ɔp,,,,
涾,涾,,緝,ɔp,,,,
龖,龖,,緝,ɔp,,,,
譶,譶,,緝,ɔp,,,,
𣝋,𣝋,,緝,ɔp,,,,
䂿,䂿,,緝,ɔp,,,,
䜚,䜚,,緝,ɔp,,,,
𦾽,𦾽,,緝,ɔp,,,,
眔,眔,,緝,ɔp,,,,
榻,榻,,葉,ʌp,,,,
鳎,鳎,,葉,ʌp,,,,
狧,狧,,葉,ʌp,,,,
𦐇,𦐇,,葉,ʌp,,,,
蹋,蹋,,葉,ʌp,,,,
躢,躢,,葉,ʌp,,,,
闒,闒,,葉,ʌp,,,,
𧮑,𧮑,,葉,ʌp,,,,
䍇,䍇,,葉,ʌp,,,,
拏（牽）,拏,（牽）,魚,ʌ,,,,
𧘽,𧘽,,魚,ʌ,,,,
秅（烏秅，國名）,秅,（烏秅，國名）,魚,ʌ,,,,
貀,貀,,物,ɔt,,,,
魶,魶,,緝,ɔp,,,,
納,納,,緝,ɔp,,,,
䪏,䪏,,緝,ɔp,,,,
軜,軜,,緝,ɔp,,,,
内（內，納）,内,（內，納）,緝,ɔp,,,,
𩹾,𩹾,,緝,ɔp,,,,
拉,拉,,緝,ɔp,,,,
㕇,㕇,,緝,ɔp,,,,
柆,柆,,緝,ɔp,,,,
搚,搚,,葉,ʌp,,,,
摺（拉折）,摺,（拉折）,葉,ʌp,,,,
邋,邋,,葉,ʌp,,,,
剌,剌,,月,ʌt,,,,
瘌,瘌,,月,ʌt,,,,
𢃴,𢃴,,月,ʌt,,,,
䶛,䶛,,月,ʌt,,,,
㻝,㻝,,月,ʌt,,,,
楋,楋,,月,ʌt,,,,
臘,臘,,葉,ʌp,,,,
臈（“臘”俗字）,臈,（“臘”俗字）,葉,ʌp,,,,
鑞,鑞,,葉,ʌp,,,,
蠟,蠟,,葉,ʌp,,,,
巴,巴,,魚,ʌ,,,,
鈀（兵車）,鈀,（兵車）,魚,ʌ,,,,
豝,豝,,魚,ʌ,,,,
芭,芭,,魚,ʌ,,,,
八,八,,質,ət,,,,
𩡩,𩡩,,質,ət,,,,
捌（農具名）,捌,（農具名）,月,ʌt,,,,
柭,柭,,月,ʌt,,,,
拔（擢也）,拔,（擢也）,月,ʌt,,,,
跋,跋,,月,ʌt,,,,
