字符,韵部,韵母,,,,
巿,曷,ʌt,,,,
帀,合,ɔp,,,,
币,曷,ʌt,,,,
市,咍,ɔɪ,,,,
布,模,ʌ,,,,
帅,"没,没","ɔt,ɔt",,,,
帆,"覃,覃","ɔm,ɔm",,,,
师,灰,ɔl,,,,
帉,痕,ɔn,,,,
帊,模,ʌ,,,,
希,灰,ɔl,,,,
帏,灰,ɔl,,,,
帐,唐,ʌŋ,,,,
帑,"模,模","ʌ,ʌ",,,,
帔,"歌,歌","ʌl,ʌl",,,,
帖,"怗,怗,怗","ʌp,ʌp,ʌp",,,,
帗,曷,ʌt,,,,
帙,屑,ət,,,,
帚,萧,ɔ,,,,
帛,铎,ʌk,,,,
帜,德,ɔɪk,,,,
帝,锡,ək,,,,
帟,铎,ʌk,,,,
帡,青,əŋ,,,,
帣,寒,ʌn,,,,
帤,模,ʌ,,,,
帥,"没,没","ɔt,ɔt",,,,
带,曷,ʌt,,,,
帨,曷,ʌt,,,,
帩,豪,o,,,,
師,灰,ɔl,,,,
帬,痕,ɔn,,,,
席,铎,ʌk,,,,
帱,"萧,萧","ɔ,ɔ",,,,
帳,唐,ʌŋ,,,,
帴,寒,ʌn,,,,
帶,曷,ʌt,,,,
帷,灰,ɔl,,,,
常,唐,ʌŋ,,,,
帻,锡,ək,,,,
帽,萧,ɔ,,,,
帾,模,ʌ,,,,
幂,锡,ək,,,,
幃,灰,ɔl,,,,
幄,屋,ɒk,,,,
幅,"德,德","ɔɪk,ɔɪk",,,,
幎,锡,ək,,,,
幏,模,ʌ,,,,
幐,登,ɔɪŋ,,,,
幑,灰,ɔl,,,,
幓,覃,ɔm,,,,
幔,寒,ʌn,,,,
幕,铎,ʌk,,,,
幖,豪,o,,,,
幘,锡,ək,,,,
幝,寒,ʌn,,,,
幟,德,ɔɪk,,,,
幠,模,ʌ,,,,
幡,寒,ʌn,,,,
幢,"东,东","ɒŋ,ɒŋ",,,,
幣,曷,ʌt,,,,
幦,锡,ək,,,,
幧,豪,o,,,,
幨,添,ʌm,,,,
幩,痕,ɔn,,,,
幪,"东,东","ɒŋ,ɒŋ",,,,
幬,"萧,萧","ɔ,ɔ",,,,
幭,曷,ʌt,,,,
幰,寒,ʌn,,,,
干,寒,ʌn,,,,
平,青,əŋ,,,,
年,先,ən,,,,
幵,寒,ʌn,,,,
并,青,əŋ,,,,
幷,青,əŋ,,,,
幸,青,əŋ,,,,
幹,"寒,寒","ʌn,ʌn",,,,
幺,豪,o,,,,
幻,寒,ʌn,,,,
幼,"萧,萧","ɔ,ɔ",,,,
幽,萧,ɔ,,,,
幾,"灰,灰","ɔl,ɔl",,,,
广,添,ʌm,,,,
庀,灰,ɔl,,,,
庆,"唐,唐","ʌŋ,ʌŋ",,,,
庇,灰,ɔl,,,,
庉,痕,ɔn,,,,
庋,齐,ə,,,,
庌,模,ʌ,,,,
序,模,ʌ,,,,
庐,模,ʌ,,,,
庑,"模,模","ʌ,ʌ",,,,
库,模,ʌ,,,,
应,"登,登","ɔɪŋ,ɔɪŋ",,,,
底,灰,ɔl,,,,
庖,萧,ɔ,,,,
庙,豪,o,,,,
庚,唐,ʌŋ,,,,
庛,齐,ə,,,,
府,侯,ɒ,,,,
庞,"东,东","ɒŋ,ɒŋ",,,,
废,曷,ʌt,,,,
庠,唐,ʌŋ,,,,
庢,屑,ət,,,,
庤,咍,ɔɪ,,,,
庥,萧,ɔ,,,,
度,"铎,铎","ʌk,ʌk",,,,
座,歌,ʌl,,,,
庪,齐,ə,,,,
庫,模,ʌ,,,,
庭,青,əŋ,,,,
庮,萧,ɔ,,,,
庰,青,əŋ,,,,
庲,咍,ɔɪ,,,,
庳,齐,ə,,,,
庵,添,ʌm,,,,
庶,"铎,铎","ʌk,ʌk",,,,
康,唐,ʌŋ,,,,
庸,东,ɒŋ,,,,
庼,青,əŋ,,,,
庽,侯,ɒ,,,,
庾,侯,ɒ,,,,
庿,豪,o,,,,
廁,"德,德,德","ɔɪk,ɔɪk,ɔɪk",,,,
廂,唐,ʌŋ,,,,
廅,怗,ʌp,,,,
廆,灰,ɔl,,,,
廇,萧,ɔ,,,,
廈,模,ʌ,,,,
廉,添,ʌm,,,,
廊,唐,ʌŋ,,,,
廋,萧,ɔ,,,,
廌,齐,ə,,,,
廎,青,əŋ,,,,
廐,萧,ɔ,,,,
廑,痕,ɔn,,,,
廓,铎,ʌk,,,,
廔,侯,ɒ,,,,
廕,覃,ɔm,,,,
廖,萧,ɔ,,,,
廙,德,ɔɪk,,,,
廚,侯,ɒ,,,,
廛,寒,ʌn,,,,
廝,"齐,齐","ə,ə",,,,
廞,覃,ɔm,,,,
廟,豪,o,,,,
廡,"模,模","ʌ,ʌ",,,,
廢,曷,ʌt,,,,
廣,"唐,唐","ʌŋ,ʌŋ",,,,
廥,曷,ʌt,,,,
廧,唐,ʌŋ,,,,
廨,"锡,锡","ək,ək",,,,
廩,覃,ɔm,,,,
廬,模,ʌ,,,,
廮,青,əŋ,,,,
廱,东,ɒŋ,,,,
廴,先,ən,,,,
延,"寒,青","ʌn,əŋ",,,,
廷,青,əŋ,,,,
建,寒,ʌn,,,,
廾,东,ɒŋ,,,,
廿,合,ɔp,,,,
开,灰,ɔl,,,,
弁,寒,ʌn,,,,
异,德,ɔɪk,,,,
弃,屑,ət,,,,
弄,"东,东","ɒŋ,ɒŋ",,,,
弅,痕,ɔn,,,,
弇,添,ʌm,,,,
弈,铎,ʌk,,,,
弊,曷,ʌt,,,,
弋,德,ɔɪk,,,,
式,德,ɔɪk,,,,
弑,德,ɔɪk,,,,
弓,登,ɔɪŋ,,,,
弔,"沃,沃","ɔk,ɔk",,,,
引,先,ən,,,,
弗,没,ɔt,,,,
弘,登,ɔɪŋ,,,,
弛,"歌,歌","ʌl,ʌl",,,,
弝,模,ʌ,,,,
弞,先,ən,,,,
弟,"灰,灰","ɔl,ɔl",,,,
张,"唐,唐","ʌŋ,ʌŋ",,,,
弢,豪,o,,,,
弣,侯,ɒ,,,,
弤,灰,ɔl,,,,
弥,"灰,灰,灰","ɔl,ɔl,ɔl",,,,
弦,先,ən,,,,
弧,模,ʌ,,,,
弨,豪,o,,,,
弩,模,ʌ,,,,
弭,齐,ə,,,,
弮,寒,ʌn,,,,
弯,寒,ʌn,,,,
弱,沃,ɔk,,,,
弲,寒,ʌn,,,,
弴,痕,ɔn,,,,
張,"唐,唐","ʌŋ,ʌŋ",,,,
弸,登,ɔɪŋ,,,,
弹,"寒,寒","ʌn,ʌn",,,,
强,"唐,唐","ʌŋ,ʌŋ",,,,
弼,屑,ət,,,,
彀,屋,ɒk,,,,
彃,屑,ət,,,,
彄,侯,ɒ,,,,
彆,曷,ʌt,,,,
彈,"寒,寒","ʌn,ʌn",,,,
彉,铎,ʌk,,,,
彊,"唐,唐,唐","ʌŋ,ʌŋ,ʌŋ",,,,
彋,登,ɔɪŋ,,,,
彌,"灰,灰","ɔl,ɔl",,,,
彍,铎,ʌk,,,,
彎,寒,ʌn,,,,
彏,铎,ʌk,,,,
彑,曷,ʌt,,,,
归,"灰,没","ɔl,ɔt",,,,
当,"唐,唐","ʌŋ,ʌŋ",,,,
录,屋,ɒk,,,,
彖,寒,ʌn,,,,
彗,"屑,曷","ət,ʌt",,,,
彘,曷,ʌt,,,,
彙,没,ɔt,,,,
彝,灰,ɔl,,,,
彟,铎,ʌk,,,,
彠,铎,ʌk,,,,
彡,覃,ɔm,,,,
形,青,əŋ,,,,
彣,痕,ɔn,,,,
彤,冬,ɔŋ,,,,
彦,寒,ʌn,,,,
彧,德,ɔɪk,,,,
彩,咍,ɔɪ,,,,
彪,萧,ɔ,,,,
彫,萧,ɔ,,,,
彬,痕,ɔn,,,,
彭,"唐,唐","ʌŋ,ʌŋ",,,,
彰,唐,ʌŋ,,,,
影,唐,ʌŋ,,,,
彳,铎,ʌk,,,,
彴,沃,ɔk,,,,
彷,"唐,唐","ʌŋ,ʌŋ",,,,
彸,东,ɒŋ,,,,
役,锡,ək,,,,
彻,曷,ʌt,,,,
彼,歌,ʌl,,,,
彿,没,ɔt,,,,
往,"唐,唐","ʌŋ,ʌŋ",,,,
征,青,əŋ,,,,
徂,模,ʌ,,,,
径,青,əŋ,,,,
待,咍,ɔɪ,,,,
徇,"先,先","ən,ən",,,,
很,痕,ɔn,,,,
徉,唐,ʌŋ,,,,
徊,灰,ɔl,,,,
律,没,ɔt,,,,
後,侯,ɒ,,,,
徐,模,ʌ,,,,
徑,青,əŋ,,,,
徒,模,ʌ,,,,
徕,咍,ɔɪ,,,,
得,"德,德","ɔɪk,ɔɪk",,,,
徘,灰,ɔl,,,,
徙,齐,ə,,,,
徛,歌,ʌl,,,,
徜,唐,ʌŋ,,,,
從,"东,东,东,东","ɒŋ,ɒŋ,ɒŋ,ɒŋ",,,,
徠,咍,ɔɪ,,,,
御,"模,模","ʌ,ʌ",,,,
徦,模,ʌ,,,,
徧,先,ən,,,,
徨,唐,ʌŋ,,,,
復,"沃,沃","ɔk,ɔk",,,,
循,痕,ɔn,,,,
徬,"唐,唐","ʌŋ,ʌŋ",,,,
徭,豪,o,,,,
微,"灰,灰","ɔl,ɔl",,,,
徯,齐,ə,,,,
徵,"咍,登","ɔɪ,ɔɪŋ",,,,
徶,曷,ʌt,,,,
德,德,ɔɪk,,,,
徹,曷,ʌt,,,,
徼,沃,ɔk,,,,
徽,灰,ɔl,,,,
心,覃,ɔm,,,,
必,屑,ət,,,,
忆,德,ɔɪk,,,,
忉,豪,o,,,,
忌,咍,ɔɪ,,,,
忍,痕,ɔn,,,,
忒,德,ɔɪk,,,,
忓,"寒,寒","ʌn,ʌn",,,,
忔,"没,没","ɔt,ɔt",,,,
忕,"曷,曷","ʌt,ʌt",,,,
忖,痕,ɔn,,,,
志,咍,ɔɪ,,,,
忘,唐,ʌŋ,,,,
忝,添,ʌm,,,,
忞,痕,ɔn,,,,
忠,冬,ɔŋ,,,,
忡,冬,ɔŋ,,,,
忤,模,ʌ,,,,
忧,咍,ɔɪ,,,,
忨,寒,ʌn,,,,
忪,东,ɒŋ,,,,
快,曷,ʌt,,,,
忮,齐,ə,,,,
忱,覃,ɔm,,,,
忲,曷,ʌt,,,,
忳,"痕,痕","ɔn,ɔn",,,,
念,覃,ɔm,,,,
忸,萧,ɔ,,,,
忻,痕,ɔn,,,,
忼,唐,ʌŋ,,,,
忽,没,ɔt,,,,
忿,痕,ɔn,,,,
怀,灰,ɔl,,,,
态,咍,ɔɪ,,,,
怂,东,ɒŋ,,,,
怃,模,ʌ,,,,
怅,唐,ʌŋ,,,,
怆,"唐,唐","ʌŋ,ʌŋ",,,,
怊,豪,o,,,,
怍,铎,ʌk,,,,
怏,唐,ʌŋ,,,,
怐,侯,ɒ,,,,
怒,模,ʌ,,,,
怓,豪,o,,,,
怔,青,əŋ,,,,
怕,铎,ʌk,,,,
怖,模,ʌ,,,,
怗,"怗,添","ʌp,ʌm",,,,
怙,模,ʌ,,,,
怚,"模,模","ʌ,ʌ",,,,
怛,曷,ʌt,,,,
思,咍,ɔɪ,,,,
怞,"萧,萧","ɔ,ɔ",,,,
怠,咍,ɔɪ,,,,
怡,咍,ɔɪ,,,,
怢,屑,ət,,,,
怤,侯,ɒ,,,,
急,合,ɔp,,,,
怦,青,əŋ,,,,
性,青,əŋ,,,,
怨,寒,ʌn,,,,
怩,灰,ɔl,,,,
怪,咍,ɔɪ,,,,
怫,"没,没","ɔt,ɔt",,,,
怬,屑,ət,,,,
怭,屑,ət,,,,
怯,怗,ʌp,,,,
怱,东,ɒŋ,,,,
怲,唐,ʌŋ,,,,
怳,唐,ʌŋ,,,,
怴,曷,ʌt,,,,
怵,"没,没","ɔt,ɔt",,,,
总,东,ɒŋ,,,,
怼,"没,没","ɔt,ɔt",,,,
怿,铎,ʌk,,,,
恀,歌,ʌl,,,,
恁,覃,ɔm,,,,
恂,先,ən,,,,
恃,咍,ɔɪ,,,,
恅,萧,ɔ,,,,
恆,"登,登","ɔɪŋ,ɔɪŋ",,,,
恇,唐,ʌŋ,,,,
恈,萧,ɔ,,,,
恉,灰,ɔl,,,,
恊,怗,ʌp,,,,
恋,寒,ʌn,,,,
恌,豪,o,,,,
恍,唐,ʌŋ,,,,
恐,东,ɒŋ,,,,
恑,齐,ə,,,,
恔,"豪,豪","o,o",,,,
恕,模,ʌ,,,,
恙,唐,ʌŋ,,,,
恚,齐,ə,,,,
恛,灰,ɔl,,,,
恝,曷,ʌt,,,,
恡,痕,ɔn,,,,
恢,咍,ɔɪ,,,,
恣,灰,ɔl,,,,
恤,屑,ət,,,,
恥,咍,ɔɪ,,,,
恧,德,ɔɪk,,,,
恨,痕,ɔn,,,,
恩,先,ən,,,,
恪,"铎,铎","ʌk,ʌk",,,,
恫,"东,东","ɒŋ,ɒŋ",,,,
恬,添,ʌm,,,,
恭,东,ɒŋ,,,,
息,德,ɔɪk,,,,
恲,青,əŋ,,,,
恶,"铎,模,铎,铎","ʌk,ʌ,ʌk,ʌk",,,,
恸,东,ɒŋ,,,,
恺,灰,ɔl,,,,
恻,德,ɔɪk,,,,
恼,豪,o,,,,
恽,痕,ɔn,,,,
恿,东,ɒŋ,,,,
悁,寒,ʌn,,,,
悂,灰,ɔl,,,,
悃,痕,ɔn,,,,
悄,豪,o,,,,
悆,模,ʌ,,,,
悇,模,ʌ,,,,
悈,"德,德","ɔɪk,ɔɪk",,,,
悉,屑,ət,,,,
悊,曷,ʌt,,,,
悌,灰,ɔl,,,,
悍,寒,ʌn,,,,
悐,锡,ək,,,,
悑,模,ʌ,,,,
悒,合,ɔp,,,,
悔,咍,ɔɪ,,,,
悕,灰,ɔl,,,,
悖,没,ɔt,,,,
悗,"寒,寒","ʌn,ʌn",,,,
悚,东,ɒŋ,,,,
悛,痕,ɔn,,,,
悝,"咍,咍","ɔɪ,ɔɪ",,,,
悟,模,ʌ,,,,
悠,萧,ɔ,,,,
悢,唐,ʌŋ,,,,
患,寒,ʌn,,,,
悤,东,ɒŋ,,,,
悦,曷,ʌt,,,,
悫,屋,ɒk,,,,
悬,寒,ʌn,,,,
悯,痕,ɔn,,,,
悰,冬,ɔŋ,,,,
悱,灰,ɔl,,,,
悲,灰,ɔl,,,,
悴,没,ɔt,,,,
悵,唐,ʌŋ,,,,
悶,"痕,痕","ɔn,ɔn",,,,
悷,屑,ət,,,,
悸,屑,ət,,,,
悹,寒,ʌn,,,,
悻,青,əŋ,,,,
悼,沃,ɔk,,,,
悽,灰,ɔl,,,,
悾,东,ɒŋ,,,,
惀,痕,ɔn,,,,
惄,沃,ɔk,,,,
情,青,əŋ,,,,
惆,萧,ɔ,,,,
惇,痕,ɔn,,,,
惊,青,əŋ,,,,
惋,寒,ʌn,,,,
惌,"寒,寒","ʌn,ʌn",,,,
惎,咍,ɔɪ,,,,
惏,"覃,覃","ɔm,ɔm",,,,
惑,德,ɔɪk,,,,
惓,"寒,寒","ʌn,ʌn",,,,
惔,"添,添","ʌm,ʌm",,,,
惕,锡,ək,,,,
惘,唐,ʌŋ,,,,
惙,曷,ʌt,,,,
惚,没,ɔt,,,,
惛,痕,ɔn,,,,
惜,铎,ʌk,,,,
惝,唐,ʌŋ,,,,
惟,灰,ɔl,,,,
惠,屑,ət,,,,
惡,"铎,模,铎","ʌk,ʌ,ʌk",,,,
惢,歌,ʌl,,,,
惧,"模,模","ʌ,ʌ",,,,
惨,覃,ɔm,,,,
惩,登,ɔɪŋ,,,,
惪,德,ɔɪk,,,,
惫,德,ɔɪk,,,,
惬,怗,ʌp,,,,
惭,添,ʌm,,,,
惮,寒,ʌn,,,,
惰,歌,ʌl,,,,
惱,豪,o,,,,
惲,痕,ɔn,,,,
想,唐,ʌŋ,,,,
惴,歌,ʌl,,,,
惵,怗,ʌp,,,,
惶,唐,ʌŋ,,,,
惷,痕,ɔn,,,,
惸,青,əŋ,,,,
惹,"铎,铎","ʌk,ʌk",,,,
惻,德,ɔɪk,,,,
惼,先,ən,,,,
惽,痕,ɔn,,,,
惾,东,ɒŋ,,,,
愀,萧,ɔ,,,,
愁,萧,ɔ,,,,
愃,寒,ʌn,,,,
愅,德,ɔɪk,,,,
愆,寒,ʌn,,,,
愇,灰,ɔl,,,,
愈,侯,ɒ,,,,
愉,"侯,侯","ɒ,ɒ",,,,
愊,德,ɔɪk,,,,
愍,先,ən,,,,
愎,沃,ɔk,,,,
意,德,ɔɪk,,,,
愐,寒,ʌn,,,,
愒,曷,ʌt,,,,
愓,"唐,唐","ʌŋ,ʌŋ",,,,
愔,覃,ɔm,,,,
愕,铎,ʌk,,,,
愖,覃,ɔm,,,,
愗,侯,ɒ,,,,
愙,铎,ʌk,,,,
愚,侯,ɒ,,,,
愛,没,ɔt,,,,
愜,怗,ʌp,,,,
愞,歌,ʌl,,,,
感,覃,ɔm,,,,
愠,痕,ɔn,,,,
愤,痕,ɔn,,,,
愦,没,ɔt,,,,
愧,灰,ɔl,,,,
愫,模,ʌ,,,,
愬,"铎,铎","ʌk,ʌk",,,,
愮,豪,o,,,,
愯,东,ɒŋ,,,,
愴,"唐,唐","ʌŋ,ʌŋ",,,,
愵,沃,ɔk,,,,
愷,灰,ɔl,,,,
愺,萧,ɔ,,,,
愻,痕,ɔn,,,,
愾,"没,没","ɔt,ɔt",,,,
愿,寒,ʌn,,,,
慁,痕,ɔn,,,,
慂,东,ɒŋ,,,,
慄,屑,ət,,,,
慅,"萧,萧","ɔ,ɔ",,,,
慆,萧,ɔ,,,,
慇,痕,ɔn,,,,
慈,咍,ɔɪ,,,,
慉,沃,ɔk,,,,
慊,"怗,添,添","ʌp,ʌm,ʌm",,,,
態,咍,ɔɪ,,,,
慌,唐,ʌŋ,,,,
慎,先,ən,,,,
慑,怗,ʌp,,,,
慓,豪,o,,,,
慔,铎,ʌk,,,,
慕,铎,ʌk,,,,
慘,覃,ɔm,,,,
慙,添,ʌm,,,,
慚,添,ʌm,,,,
慝,德,ɔɪk,,,,
慟,东,ɒŋ,,,,
慠,豪,o,,,,
慢,寒,ʌn,,,,
慤,屋,ɒk,,,,
慥,萧,ɔ,,,,
慧,屑,ət,,,,
慨,"没,没","ɔt,ɔt",,,,
慫,东,ɒŋ,,,,
慬,痕,ɔn,,,,
慭,"先,先,先","ən,ən,ən",,,,
慮,模,ʌ,,,,
慰,没,ɔt,,,,
慱,寒,ʌn,,,,
慲,寒,ʌn,,,,
慴,合,ɔp,,,,
慶,"唐,唐","ʌŋ,ʌŋ",,,,
慷,唐,ʌŋ,,,,
慸,曷,ʌt,,,,
慹,"合,合","ɔp,ɔp",,,,
慼,沃,ɔk,,,,
慽,沃,ɔk,,,,
慾,屋,ɒk,,,,
憀,萧,ɔ,,,,
憂,萧,ɔ,,,,
憃,东,ɒŋ,,,,
憊,德,ɔɪk,,,,
憋,曷,ʌt,,,,
憍,豪,o,,,,
憎,登,ɔɪŋ,,,,
憐,先,ən,,,,
憑,登,ɔɪŋ,,,,
憒,没,ɔt,,,,
憓,屑,ət,,,,
憔,豪,o,,,,
憕,登,ɔɪŋ,,,,
憖,"先,先,先","ən,ən,ən",,,,
憙,咍,ɔɪ,,,,
憚,寒,ʌn,,,,
憛,覃,ɔm,,,,
憜,歌,ʌl,,,,
憝,灰,ɔl,,,,
憞,灰,ɔl,,,,
憢,豪,o,,,,
憤,痕,ɔn,,,,
憧,"东,东","ɒŋ,ɒŋ",,,,
憩,曷,ʌt,,,,
憪,"寒,寒","ʌn,ʌn",,,,
憫,痕,ɔn,,,,
憬,唐,ʌŋ,,,,
憭,"豪,豪","o,o",,,,
憮,模,ʌ,,,,
憯,覃,ɔm,,,,
憰,屑,ət,,,,
憲,寒,ʌn,,,,
憴,登,ɔɪŋ,,,,
憶,德,ɔɪk,,,,
憸,添,ʌm,,,,
憺,添,ʌm,,,,
憼,青,əŋ,,,,
憾,覃,ɔm,,,,
憿,豪,o,,,,
懁,寒,ʌn,,,,
懃,痕,ɔn,,,,
懆,豪,o,,,,
懈,锡,ək,,,,
應,"登,登","ɔɪŋ,ɔɪŋ",,,,
懊,沃,ɔk,,,,
懋,侯,ɒ,,,,
懌,铎,ʌk,,,,
懑,寒,ʌn,,,,
懔,覃,ɔm,,,,
懕,添,ʌm,,,,
懘,曷,ʌt,,,,
懙,模,ʌ,,,,
懜,登,ɔɪŋ,,,,
懝,咍,ɔɪ,,,,
懞,东,ɒŋ,,,,
懟,"没,没","ɔt,ɔt",,,,
懠,灰,ɔl,,,,
懣,寒,ʌn,,,,
懤,萧,ɔ,,,,
懥,屑,ət,,,,
懪,沃,ɔk,,,,
懫,屑,ət,,,,
懬,唐,ʌŋ,,,,
懭,唐,ʌŋ,,,,
懮,"萧,萧","ɔ,ɔ",,,,
懰,"萧,萧","ɔ,ɔ",,,,
懱,曷,ʌt,,,,
懲,登,ɔɪŋ,,,,
懵,登,ɔɪŋ,,,,
懷,灰,ɔl,,,,
懸,寒,ʌn,,,,
懹,唐,ʌŋ,,,,
懼,"模,模","ʌ,ʌ",,,,
懽,"寒,寒","ʌn,ʌn",,,,
懾,怗,ʌp,,,,
懿,屑,ət,,,,
戀,寒,ʌn,,,,
戁,寒,ʌn,,,,
戃,唐,ʌŋ,,,,
戄,铎,ʌk,,,,
戆,东,ɒŋ,,,,
戇,东,ɒŋ,,,,
戈,歌,ʌl,,,,
戉,曷,ʌt,,,,
戊,萧,ɔ,,,,
戋,"寒,寒","ʌn,ʌn",,,,
戌,没,ɔt,,,,
戍,侯,ɒ,,,,
戎,冬,ɔŋ,,,,
戏,"歌,歌,歌","ʌl,ʌl,ʌl",,,,
成,青,əŋ,,,,
我,歌,ʌl,,,,
戒,德,ɔɪk,,,,
戔,"寒,寒","ʌn,ʌn",,,,
戕,唐,ʌŋ,,,,
或,德,ɔɪk,,,,
战,寒,ʌn,,,,
戚,沃,ɔk,,,,
戛,屑,ət,,,,
戟,铎,ʌk,,,,
戡,覃,ɔm,,,,
戢,合,ɔp,,,,
戣,灰,ɔl,,,,
戩,先,ən,,,,
截,曷,ʌt,,,,
戬,先,ən,,,,
戭,先,ən,,,,
戮,沃,ɔk,,,,
戰,寒,ʌn,,,,
戲,"歌,歌,歌","ʌl,ʌl,ʌl",,,,
戴,咍,ɔɪ,,,,
户,模,ʌ,,,,
戹,锡,ək,,,,
戺,咍,ɔɪ,,,,
戾,屑,ət,,,,
房,"唐,唐","ʌŋ,ʌŋ",,,,
所,"模,模","ʌ,ʌ",,,,
扁,"先,先","ən,ən",,,,
扃,"青,青","əŋ,əŋ",,,,
扆,灰,ɔl,,,,
扇,"寒,寒","ʌn,ʌn",,,,
扈,模,ʌ,,,,
扉,灰,ɔl,,,,
手,萧,ɔ,,,,
才,咍,ɔɪ,,,,
扐,德,ɔɪk,,,,
扑,屋,ɒk,,,,
扔,登,ɔɪŋ,,,,
扛,东,ɒŋ,,,,
扜,模,ʌ,,,,
扞,寒,ʌn,,,,
扠,歌,ʌl,,,,
扡,"歌,歌","ʌl,ʌl",,,,
扢,"没,没","ɔt,ɔt",,,,
扣,"侯,侯","ɒ,ɒ",,,,
扤,没,ɔt,,,,
执,合,ɔp,,,,
扩,铎,ʌk,,,,
扪,痕,ɔn,,,,
扫,萧,ɔ,,,,
扬,唐,ʌŋ,,,,
扮,痕,ɔn,,,,
扰,萧,ɔ,,,,
扱,"合,合,合","ɔp,ɔp,ɔp",,,,
扳,寒,ʌn,,,,
扴,曷,ʌt,,,,
扶,"模,模","ʌ,ʌ",,,,
批,灰,ɔl,,,,
扺,齐,ə,,,,
扻,屑,ət,,,,
扼,锡,ək,,,,
承,登,ɔɪŋ,,,,
技,齐,ə,,,,
抃,寒,ʌn,,,,
抆,痕,ɔn,,,,
抇,屑,ət,,,,
抈,曷,ʌt,,,,
抉,曷,ʌt,,,,
把,模,ʌ,,,,
抌,覃,ɔm,,,,
抍,登,ɔɪŋ,,,,
抎,痕,ɔn,,,,
抏,寒,ʌn,,,,
抑,德,ɔɪk,,,,
抒,模,ʌ,,,,
抓,萧,ɔ,,,,
抔,咍,ɔɪ,,,,
投,侯,ɒ,,,,
抗,唐,ʌŋ,,,,
折,"曷,曷","ʌt,ʌt",,,,
抚,模,ʌ,,,,
抟,"寒,寒","ʌn,ʌn",,,,
抠,侯,ɒ,,,,
抡,痕,ɔn,,,,
抢,唐,ʌŋ,,,,
护,铎,ʌk,,,,
报,萧,ɔ,,,,
抨,"青,青","əŋ,əŋ",,,,
抪,模,ʌ,,,,
披,"歌,歌","ʌl,ʌl",,,,
抮,痕,ɔn,,,,
抯,模,ʌ,,,,
抰,唐,ʌŋ,,,,
抱,萧,ɔ,,,,
抴,曷,ʌt,,,,
抵,灰,ɔl,,,,
抶,屑,ət,,,,
抽,萧,ɔ,,,,
抾,怗,ʌp,,,,
抿,先,ən,,,,
拂,"没,没","ɔt,ɔt",,,,
拄,侯,ɒ,,,,
担,曷,ʌt,,,,
拆,"铎,铎","ʌk,ʌk",,,,
拇,咍,ɔɪ,,,,
拈,添,ʌm,,,,
拉,合,ɔp,,,,
拊,侯,ɒ,,,,
拌,寒,ʌn,,,,
拍,铎,ʌk,,,,
拏,模,ʌ,,,,
拑,添,ʌm,,,,
拒,"模,模","ʌ,ʌ",,,,
拓,"铎,铎","ʌk,ʌk",,,,
拔,"曷,曷","ʌt,ʌt",,,,
拕,歌,ʌl,,,,
拖,歌,ʌl,,,,
拗,萧,ɔ,,,,
拘,"侯,侯","ɒ,ɒ",,,,
拙,没,ɔt,,,,
拚,"寒,寒","ʌn,ʌn",,,,
招,"豪,豪","o,o",,,,
拜,曷,ʌt,,,,
拟,咍,ɔɪ,,,,
拣,寒,ʌn,,,,
拥,"东,东","ɒŋ,ɒŋ",,,,
拨,曷,ʌt,,,,
择,铎,ʌk,,,,
括,曷,ʌt,,,,
拭,德,ɔɪk,,,,
拮,"屑,屑","ət,ət",,,,
拯,登,ɔɪŋ,,,,
拱,东,ɒŋ,,,,
拲,东,ɒŋ,,,,
拳,寒,ʌn,,,,
拸,歌,ʌl,,,,
拹,怗,ʌp,,,,
拽,曷,ʌt,,,,
拾,"合,合,合","ɔp,ɔp,ɔp",,,,
持,咍,ɔɪ,,,,
挂,齐,ə,,,,
挃,屑,ət,,,,
指,灰,ɔl,,,,
挈,曷,ʌt,,,,
按,寒,ʌn,,,,
挋,先,ən,,,,
挌,铎,ʌk,,,,
挎,模,ʌ,,,,
挏,东,ɒŋ,,,,
挐,模,ʌ,,,,
挑,"豪,豪,豪","o,o,o",,,,
挚,合,ɔp,,,,
挛,寒,ʌn,,,,
挞,曷,ʌt,,,,
挟,"怗,怗,怗","ʌp,ʌp,ʌp",,,,
挠,"豪,豪","o,o",,,,
挢,豪,o,,,,
挤,灰,ɔl,,,,
挥,痕,ɔn,,,,
挨,咍,ɔɪ,,,,
挫,"歌,歌","ʌl,ʌl",,,,
振,"痕,痕","ɔn,ɔn",,,,
挶,屋,ɒk,,,,
挹,合,ɔp,,,,
挺,青,əŋ,,,,
挻,寒,ʌn,,,,
挼,"歌,歌","ʌl,ʌl",,,,
挽,寒,ʌn,,,,
挾,"怗,怗,怗","ʌp,ʌp,ʌp",,,,
捀,东,ɒŋ,,,,
捂,模,ʌ,,,,
捃,痕,ɔn,,,,
捄,"萧,萧","ɔ,ɔ",,,,
捆,痕,ɔn,,,,
捇,铎,ʌk,,,,
捈,模,ʌ,,,,
捉,屋,ɒk,,,,
捊,萧,ɔ,,,,
捋,曷,ʌt,,,,
捌,曷,ʌt,,,,
捍,寒,ʌn,,,,
捎,"豪,豪","o,o",,,,
捐,寒,ʌn,,,,
捔,"屋,屋","ɒk,ɒk",,,,
捕,模,ʌ,,,,
捖,寒,ʌn,,,,
捘,痕,ɔn,,,,
损,痕,ɔn,,,,
捡,"添,添","ʌm,ʌm",,,,
