廣韻字頭(覈校後),廣韻字頭原貌(覈校前),聲紐,聲母擬音,呼,等,韻部(調整後),廣韻韻部原貌(調整前),,韻母擬音,聲調,廣韻反切(覈校後),廣韻反切原貌(覈校前),全王本切韻-反切,裴本切韻-反切,先秦韻部（引自余迺永的《上古音系研究》）,廣韻釋義,釋義補充
東,東,端,t̺,開,一,東,東,開一東,ɞŋ,平,德紅,德紅,德紅,德紅,東,春方也說文曰動也从日在木中亦東風菜廣州記云陸地生莖赤和肉作羹味如酪香似蘭吳都賦云莫則東風扶留又姓舜七友有東不訾又漢複姓十三氏左傳魯鄉東門襄仲後因氏焉齊有大夫東郭偃又有東宮得臣晉有東關嬖五神仙傳有廣陵人東陵聖母適杜氏齊景公時有隱居東陵者乃以爲氏世本宋大夫東鄉爲人賈執英賢傳云今高密有東鄉姓宋有員外郎東陽無疑撰齊諧記七卷昔有東閭子甞富貴後乞於道云吾爲相六年未薦一士夏禹之後東樓公封于杞後以爲氏莊子東野稷漢有平原東方朔曹瞞傳有南陽太守東里昆何氏姓苑有東萊氏德紅切十七,
菄,菄,端,t̺,開,一,東,東,開一東,ɞŋ,平,德紅,德紅,,,,東風菜義見上注俗加艹,春方也說文曰動也从日在木中亦東風菜廣州記云陸地生莖赤和肉作羹味如酪香似蘭吳都賦云莫則東風扶留又姓舜七友有東不訾又漢複姓十三氏左傳魯鄉東門襄仲後因氏焉齊有大夫東郭偃又有東宮得臣晉有東關嬖五神仙傳有廣陵人東陵聖母適杜氏齊景公時有隱居東陵者乃以爲氏世本宋大夫東鄉爲人賈執英賢傳云今高密有東鄉姓宋有員外郎東陽無疑撰齊諧記七卷昔有東閭子甞富貴後乞於道云吾爲相六年未薦一士夏禹之後東樓公封于杞後以爲氏莊子東野稷漢有平原東方朔曹瞞傳有南陽太守東里昆何氏姓苑有東萊氏德紅切十七
鶇,鶇,端,t̺,開,一,東,東,開一東,ɞŋ,平,德紅,德紅,,,,鶇鵍鳥名美形出廣雅亦作𪂝,
䍶,䍶,端,t̺,開,一,東,東,開一東,ɞŋ,平,德紅,德紅,,德紅,,獸名山海經曰秦戲山有獸狀如羊一角一目目在耳後其名曰䍶又音陳音棟,
𠍀,𠍀,端,t̺,開,一,東,東,開一東,ɞŋ,平,德紅,德紅,,,,儱𠍀儜劣皃出字諟,
倲,倲,端,t̺,開,一,東,東,開一東,ɞŋ,平,德紅,德紅,,,,上同,儱𠍀儜劣皃出字諟
𩜍,𩜍,端,t̺,開,一,東,東,開一東,ɞŋ,平,德紅,德紅,,,,地理志云東郡館名,
𢘐,𢘐,端,t̺,開,一,東,東,開一東,ɞŋ,平,德紅,德紅,,,,古文見道經,
涷,涷,端,t̺,開,一,東,東,開一東,ɞŋ,平,德紅,德紅,德紅,德紅,,瀧涷沾漬說文曰水出發鳩山入於河又都貢切,
蝀,蝀,端,t̺,開,一,東,東,開一東,ɞŋ,平,德紅,德紅,,,,螮蝀虹也又音董,
凍,凍,端,t̺,開,一,東,東,開一東,ɞŋ,平,德紅,德紅,,德紅,,凍凌又都貢切,
鯟,鯟,端,t̺,開,一,東,東,開一東,ɞŋ,平,德紅,德紅,,,,魚名似鯉,
𢔅,𢔅,端,t̺,開,一,東,東,開一東,ɞŋ,平,德紅,德紅,,,,行皃,
崠,崠,端,t̺,開,一,東,東,開一東,ɞŋ,平,德紅,德紅,,,,崠如山名,
埬,埬,端,t̺,開,一,東,東,開一東,ɞŋ,平,德紅,德紅,,,,上埬地名,
𧓕,𧓕,端,t̺,開,一,東,東,開一東,ɞŋ,平,德紅,德紅,,,,蛞𧓕科斗蟲也案爾雅曰科斗活東郭璞云蝦蟆子也字俗從䖵,
䰤,䰤,端,t̺,開,一,東,東,開一東,ɞŋ,平,德紅,德紅,,,,醜皃,
同,同,定,ˀd̺ʱ,開,一,東,東,開一東,ɞŋ,平,徒紅,徒紅,徒紅,徒紅,東,齊也共也輩也合也律歷有六同亦州春秋時晉夷吾獻其西河地於秦七國時屬魏秦并天下爲內史之地漢武更名馮翊又有九龍泉泉有九源同爲一流因以名之又羌複姓有同蹄氏望在勃海徒紅切四十五,
仝,仝,定,ˀd̺ʱ,開,一,東,東,開一東,ɞŋ,平,徒紅,徒紅,,,,古文出道書,
童,童,定,ˀd̺ʱ,開,一,東,東,開一東,ɞŋ,平,徒紅,徒紅,徒紅,徒紅,東,童獨也言童子未有室家也又姓出東莞漢有琅邪內史童仲玉,
僮,僮,定,ˀd̺ʱ,開,一,東,東,開一東,ɞŋ,平,徒紅,徒紅,徒紅,徒紅,,僮僕又頑也癡也又姓漢有交阯刺史僮尹出風俗通,
銅,銅,定,ˀd̺ʱ,開,一,東,東,開一東,ɞŋ,平,徒紅,徒紅,徒紅,徒紅,,金之一品,
桐,桐,定,ˀd̺ʱ,開,一,東,東,開一東,ɞŋ,平,徒紅,徒紅,徒紅,徒紅,,木名月令曰清明之日桐始華又桐廬縣在睦州亦姓有桐君藥錄兩卷,
峒,峒,定,ˀd̺ʱ,開,一,東,東,開一東,ɞŋ,平,徒紅,徒紅,徒紅,徒紅,,崆峒山名,
硐,硐,定,ˀd̺ʱ,開,一,東,東,開一東,ɞŋ,平,徒紅,徒紅,徒紅,徒紅,,磨也,
𦨴,𦨴,定,ˀd̺ʱ,開,一,東,東,開一東,ɞŋ,平,徒紅,徒紅,徒紅,徒紅,,𦨴船,
𧱁,𧱁,定,ˀd̺ʱ,開,一,東,東,開一東,ɞŋ,平,徒紅,徒紅,徒紅,徒紅,,獸似豕出泰山,
筒,筒,定,ˀd̺ʱ,開,一,東,東,開一東,ɞŋ,平,徒紅,徒紅,徒紅,徒紅,,竹筒又竹名射筒吳都賦曰其竹則桂箭射筒,
瞳,瞳,定,ˀd̺ʱ,開,一,東,東,開一東,ɞŋ,平,徒紅,徒紅,徒紅,徒紅,,目瞳,
㼧,㼧,定,ˀd̺ʱ,開,一,東,東,開一東,ɞŋ,平,徒紅,徒紅,徒紅,徒紅,,㼧瓦,
𤭁,𤭁,定,ˀd̺ʱ,開,一,東,東,開一東,ɞŋ,平,徒紅,徒紅,,,,上同,㼧瓦
罿,罿,定,ˀd̺ʱ,開,一,東,東,開一東,ɞŋ,平,徒紅,徒紅,徒紅,徒紅,,車上網又音衝,
犝,犝,定,ˀd̺ʱ,開,一,東,東,開一東,ɞŋ,平,徒紅,徒紅,徒紅,徒紅,,犝牛無角,
筩,筩,定,ˀd̺ʱ,開,一,東,東,開一東,ɞŋ,平,徒紅,徒紅,徒紅,徒紅,,竹筩,
潼,潼,定,ˀd̺ʱ,開,一,東,東,開一東,ɞŋ,平,徒紅,徒紅,徒紅,徒紅,,水名出廣漢郡亦關名又通衝二音,
曈,曈,定,ˀd̺ʱ,開,一,東,東,開一東,ɞŋ,平,徒紅,徒紅,徒紅,徒紅,,曈曨日欲明也又他孔切,
洞,洞,定,ˀd̺ʱ,開,一,東,東,開一東,ɞŋ,平,徒紅,徒紅,,,,洪洞縣名在晉州北又徒弄切,
侗,侗,定,ˀd̺ʱ,開,一,東,東,開一東,ɞŋ,平,徒紅,徒紅,,,,楊子法言云倥侗顓蒙,
橦,橦,定,ˀd̺ʱ,開,一,東,東,開一東,ɞŋ,平,徒紅,徒紅,徒紅,徒紅,,木名花可爲布出字書又鍾幢二音,
烔,烔,定,ˀd̺ʱ,開,一,東,東,開一東,ɞŋ,平,徒紅,徒紅,,徒紅,,熱氣烔烔出字林,
䴀,䴀,定,ˀd̺ʱ,開,一,東,東,開一東,ɞŋ,平,徒紅,徒紅,,,,鸏䴀水鳥黃喙喙長尺餘南人以爲酒器出劉欣期交州記,
挏,挏,定,ˀd̺ʱ,開,一,東,東,開一東,ɞŋ,平,徒紅,徒紅,,,,引也漢官名有挏馬又音動,
酮,酮,定,ˀd̺ʱ,開,一,東,東,開一東,ɞŋ,平,徒紅,徒紅,,,,馬酪又音動,
鮦,鮦,定,ˀd̺ʱ,開,一,東,東,開一東,ɞŋ,平,徒紅,徒紅,,,,爾雅云鰹大鮦又直冢直柳二切,
㼿,㼿,定,ˀd̺ʱ,開,一,東,東,開一東,ɞŋ,平,徒紅,徒紅,,,,井甓一云甃也,
𦏆,𦏆,定,ˀd̺ʱ,開,一,東,東,開一東,ɞŋ,平,徒紅,徒紅,,徒紅,,無角羊,
𦍻,𦍻,定,ˀd̺ʱ,開,一,東,東,開一東,ɞŋ,平,徒紅,徒紅,,,,上同,無角羊
眮,眮,定,ˀd̺ʱ,開,一,東,東,開一東,ɞŋ,平,徒紅,徒紅,,,,目眶又徒摠切,
蕫,蕫,定,ˀd̺ʱ,開,一,東,東,開一東,ɞŋ,平,徒紅,徒紅,,,,草名又多動切,
穜,穜,定,ˀd̺ʱ,開,一,東,東,開一東,ɞŋ,平,徒紅,徒紅,,,,穜稑先種後熟謂之穜後種先熟謂之稑又音重,
衕,衕,定,ˀd̺ʱ,開,一,東,東,開一東,ɞŋ,平,徒紅,徒紅,徒紅,徒紅,,通街也,
𩍅,𩍅,定,ˀd̺ʱ,開,一,東,東,開一東,ɞŋ,平,徒紅,徒紅,徒紅,徒紅,,靫具飾也,
𢈉,𢈉,定,ˀd̺ʱ,開,一,東,東,開一東,ɞŋ,平,徒紅,徒紅,,,,地下應聲,
䆚,䆚,定,ˀd̺ʱ,開,一,東,東,開一東,ɞŋ,平,徒紅,徒紅,,,,通䆚也,
哃,哃,定,ˀd̺ʱ,開,一,東,東,開一東,ɞŋ,平,徒紅,徒紅,,,,哃𠹔大言,
𢏕,𢏕,定,ˀd̺ʱ,開,一,東,東,開一東,ɞŋ,平,徒紅,徒紅,,,,弓飾,
絧,絧,定,ˀd̺ʱ,開,一,東,東,開一東,ɞŋ,平,徒紅,徒紅,,,,布名,
𨚯,𨚯,定,ˀd̺ʱ,開,一,東,東,開一東,ɞŋ,平,徒紅,徒紅,,,,鄉名,
𨝯,𨝯,定,ˀd̺ʱ,開,一,東,東,開一東,ɞŋ,平,徒紅,徒紅,,,,地名又姓,
𪔜,𪔝,定,ˀd̺ʱ,開,一,東,東,開一東,ɞŋ,平,徒紅,徒紅,,,,鼓聲,
𩦶,𩦶,定,ˀd̺ʱ,開,一,東,東,開一東,ɞŋ,平,徒紅,徒紅,,,,黑虎,
𪒿,𪒿,定,ˀd̺ʱ,開,一,東,東,開一東,ɞŋ,平,徒紅,徒紅,,,,黑皃,
中,中,知,ȶ,開,三,東,東,開三東,œŋ,平,陟弓,陟弓,陟隆,陟隆,中,平也成也宜也堪也任也和也半也又姓漢少府鄉中京出風俗通又漢複姓有七氏漢有諫議大夫中行彪晉中行偃之後虞有五英之樂掌中英者因以爲氏古有隱者中梁子漢書藝文志有室中周著書十篇賈執英賢傳云路中大夫之後以路中爲氏張晏云姓路爲中大夫何氏姓苑有中壘氏中野氏陟弓切又陟仲切四,
衷,衷,知,ȶ,開,三,東,東,開三東,œŋ,平,陟弓,陟弓,陟隆,陟隆,,善也正也適也中也又衷衣褻衣也,
忠,忠,知,ȶ,開,三,東,東,開三東,œŋ,平,陟弓,陟弓,陟隆,陟隆,,無私也敬也直也厚也亦州名本漢臨江縣屬巴郡後魏置臨州貞觀爲忠州,
𦬕,𦬕,知,ȶ,開,三,東,東,開三東,œŋ,平,陟弓,陟弓,陟隆,陟隆,,草名又音沖,
蟲,蟲,澄,ˀȡʱ,開,三,東,東,開三東,œŋ,平,直弓,直弓,直隆,直隆,中,爾雅曰有足曰蟲無足曰豸又姓漢功臣表有曲成侯蟲達直弓切七,
沖,沖,澄,ˀȡʱ,開,三,東,東,開三東,œŋ,平,直弓,直弓,直隆,直隆,,和也深也,
种,种,澄,ˀȡʱ,開,三,東,東,開三東,œŋ,平,直弓,直弓,直隆,直隆,,稚也或作沖亦姓後漢司徒河南种暠,
盅,盅,澄,ˀȡʱ,開,三,東,東,開三東,œŋ,平,直弓,直弓,直隆,直隆,,器虛也又敕中切,
爞,爞,澄,ˀȡʱ,開,三,東,東,開三東,œŋ,平,直弓,直弓,直隆,直隆,,爾雅云爞爞炎炎熏也,
𦬕,𦬕,澄,ˀȡʱ,開,三,東,東,開三東,œŋ,平,直弓,直弓,,,,草名又音中,
翀,翀,澄,ˀȡʱ,開,三,東,東,開三東,œŋ,平,直弓,直弓,,,,直上飛也,
終,終,章,tʃ,開,三,東,東,開三東,œŋ,平,職戎,職戎,職隆,職隆,,極也窮也竟也又姓漢有濟南終軍又漢複姓二氏東觀漢記有終利恭何氏姓苑云今下邳人也左傳殷人七族有終葵氏職戎切十五,
眾,衆,章,tʃ,開,三,東,東,開三東,œŋ,平,職戎,職戎,職隆,職隆,中,又之仲切,
潀,潨,章,tʃ,開,三,東,東,開三東,œŋ,平,職戎,職戎,職隆,職隆,,小水入大水又徂紅在冬二切,
𣧩,𣧩,章,tʃ,開,三,東,東,開三東,œŋ,平,職戎,職戎,職隆,職隆,,歿也,
螽,螽,章,tʃ,開,三,東,東,開三東,œŋ,平,職戎,職戎,職隆,職隆,,螽斯蟲也,
𧑄,𧑄,章,tʃ,開,三,東,東,開三東,œŋ,平,職戎,職戎,,,,上同,螽斯蟲也
鼨,鼨,章,tʃ,開,三,東,東,開三東,œŋ,平,職戎,職戎,職隆,職隆,,豹文鼠也,
蔠,蔠,章,tʃ,開,三,東,東,開三東,œŋ,平,職戎,職戎,職隆,職隆,,蔠葵蘩露也,
柊,柊,章,tʃ,開,三,東,東,開三東,œŋ,平,職戎,職戎,職隆,職隆,,木名又齊人謂椎爲柊楑也,
𩅧,𩅧,章,tʃ,開,三,東,東,開三東,œŋ,平,職戎,職戎,職隆,職隆,,小雨,
䶱,䶱,章,tʃ,開,三,東,東,開三東,œŋ,平,職戎,職戎,職隆,職隆,,字書云龜名也,
鴤,鴤,章,tʃ,開,三,東,東,開三東,œŋ,平,職戎,職戎,,,,鳥名,
䈺,䈺,章,tʃ,開,三,東,東,開三東,œŋ,平,職戎,職戎,,,,篋䈺戎人呼之,
泈,泈,章,tʃ,開,三,東,東,開三東,œŋ,平,職戎,職戎,職隆,職隆,,水名在襄陽,
䝦,䝦,章,tʃ,開,三,東,東,開三東,œŋ,平,職戎,職戎,,,,獸如豹,
忡,忡,徹,ȶʰ,開,三,東,東,開三東,œŋ,平,敕中,敕中,勑中,勑中,,憂也敕中切三,
浺,浺,徹,ȶʰ,開,三,東,東,開三東,œŋ,平,敕中,敕中,,,,浺瀜水平遠之皃又音蟲,
盅,盅,徹,ȶʰ,開,三,東,東,開三東,œŋ,平,敕中,敕中,勑中,勑中,,器虛也又音蟲,
崇,崇,崇,ˀz̻ʱ,開,三,東,東,開三東,œŋ,平,鋤弓,鋤弓,鋤隆,鋤隆,中,高也敬也就也聚也又姓鋤弓切四,
崈,崈,崇,ˀz̻ʱ,開,三,東,東,開三東,œŋ,平,鋤弓,鋤弓,鋤隆,鋤隆,,上同,高也敬也就也聚也又姓鋤弓切四
㓽,㓽,崇,ˀz̻ʱ,開,三,東,東,開三東,œŋ,平,鋤弓,鋤弓,鋤隆,鋤隆,,鍤屬,
𩞉,𩞉,崇,ˀz̻ʱ,開,三,東,東,開三東,œŋ,平,鋤弓,鋤弓,,,,饞𩞉貪食也出古今字音,
嵩,嵩,心,s̺,開,三,東,東,開三東,œŋ,平,息弓,息弓,息隆,息隆,東,山高也又山名又姓史記有嵩極玄子或作崧息弓切九,
崧,崧,心,s̺,開,三,東,東,開三東,œŋ,平,息弓,息弓,,息隆,,上同,山高也又山名又姓史記有嵩極玄子或作崧息弓切九
𪀚,𪀚,心,s̺,開,三,東,東,開三東,œŋ,平,息弓,息弓,,,,似鷹而小能捕雀也,
娀,娀,心,s̺,開,三,東,東,開三東,œŋ,平,息弓,息弓,息隆,息隆,,有娀氏女簡狄帝嚳次妃吞乙卵生契,
菘,菘,心,s̺,開,三,東,東,開三東,œŋ,平,息弓,息弓,息隆,息隆,,菜名,
硹,硹,心,s̺,開,三,東,東,開三東,œŋ,平,息弓,息弓,,,,地名在遼,
㣝,㣝,心,s̺,開,三,東,東,開三東,œŋ,平,息弓,息弓,,,,姓也,
𧊕,𧊕,心,s̺,開,三,東,東,開三東,œŋ,平,息弓,息弓,,,,蟲名,
䯷,䯷,心,s̺,開,三,東,東,開三東,œŋ,平,息弓,息弓,,,,細毛,
戎,戎,日,ʝɲ,開,三,東,東,開三東,œŋ,平,如融,如融,如隆,如隆,中,戎狄亦助也說文作𢦦兵也又姓漢宣帝戎婕妤生中山哀王竟如融切九,
𢦦,𢦦,日,ʝɲ,開,三,東,東,開三東,œŋ,平,如融,如融,,,,上同,戎狄亦助也說文作𢦦兵也又姓漢宣帝戎婕妤生中山哀王竟如融切九
茙,茙,日,ʝɲ,開,三,東,東,開三東,œŋ,平,如融,如融,如隆,如隆,,茙葵蜀葵也又虜姓後魏書官氏志云南方有茙眷氏改爲茙氏也,
㭜,㭜,日,ʝɲ,開,三,東,東,開三東,œŋ,平,如融,如融,如隆,如隆,,木名,
駥,駥,日,ʝɲ,開,三,東,東,開三東,œŋ,平,如融,如融,如隆,如隆,,馬八尺也,
𥬪,𥬪,日,ʝɲ,開,三,東,東,開三東,œŋ,平,如融,如融,,,,小竹可爲矢,
𠈋,𠈋,日,ʝɲ,開,三,東,東,開三東,œŋ,平,如融,如融,,,,𠈋人身有三角也,
狨,狨,日,ʝɲ,開,三,東,東,開三東,œŋ,平,如融,如融,,,,細布,
絨,絨,日,ʝɲ,開,三,東,東,開三東,œŋ,平,如融,如融,,,,上同,細布
弓,弓,見,k,開,三,東,東,開三東,œŋ,平,居戎,居戎,居隆,居隆,蒸,弓矢釋名曰弓穹也張之穹穹然也其末曰簫又謂之弭以骨爲之滑弭弭也中央田弣弣撫也人所撫持也簫弣之聞曰淵淵宛也言曲宛然也世本曰黃帝臣揮作弓墨子曰羿作弓孫子曰倕作弓又姓魯大夫叔弓之後居戎切六,
躳,躳,見,k,開,三,東,東,開三東,œŋ,平,居戎,居戎,,居隆,,身也親也又姓出姓苑,
躬,躬,見,k,開,三,東,東,開三東,œŋ,平,居戎,居戎,居隆,,中,上同,身也親也又姓出姓苑
㴦,㴦,見,k,開,三,東,東,開三東,œŋ,平,居戎,居戎,居隆,居隆,,縣名在酒泉,
宮,宫,見,k,開,三,東,東,開三東,œŋ,平,居戎,居戎,居隆,居隆,中,白虎通曰黃帝作宮室以避寒暑宮之言中也世本曰禹作宮亦官名漢書曰少府官有守宮令主御筆墨紙封書泥也又姓左傳虞有宮之奇,
匑,匑,見,k,開,三,東,東,開三東,œŋ,平,居戎,居戎,,,,謹敬之皃又音穹,
融,融,以,d̺,開,三,東,東,開三東,œŋ,平,以戎,以戎,餘隆,餘隆,,和也朗也說文曰炊气上出也又姓世本云古天子祝融之後以戎切四,
肜,肜,以,d̺,開,三,東,東,開三東,œŋ,平,以戎,以戎,餘隆,餘隆,,祭名又敕林切,
瀜,瀜,以,d̺,開,三,東,東,開三東,œŋ,平,以戎,以戎,,,,沖瀜大水皃,
雄,雄,云,ˀɦ,開,三,東,東,開三東,œŋ,平,羽弓,羽弓,羽隆,羽隆,,雄雌也亦姓舜友有雄陶羽弓切二,
熊,熊,云,ˀɦ,開,三,東,東,開三東,œŋ,平,羽弓,羽弓,羽隆,羽隆,蒸,獸名似豕魏略曰大秦之國出玄熊亦姓左傳賢者熊宜僚又漢複姓左傳楚大夫熊率且比,
瞢,瞢,明,m̊,合,三,東,東,合三東,œŋ,平,莫中,莫中,莫中,莫中,蒸,目不明莫中切六,
夢,夢,明,m̊,合,三,東,東,合三東,œŋ,平,莫中,莫中,莫中,莫中,蒸,說文曰不明也又武仲切,
鄸,𨞯,明,m̊,合,三,東,東,合三東,œŋ,平,莫中,莫中,莫中,莫中,,邑名在曹郡,
懜,懜,明,m̊,合,三,東,東,合三東,œŋ,平,莫中,莫中,,,,慙也國語云君使臣懜,
𦫰,𦫰,明,m̊,合,三,東,東,合三東,œŋ,平,莫中,莫中,,,,𦫰𦫰醜皃,
𧲎,𧲎,明,m̊,合,三,東,東,合三東,œŋ,平,莫中,莫中,,,,獸似豕目在耳出崐崘,
穹,穹,溪,kʰ,開,三,東,東,開三東,œŋ,平,去宮,去宮,去隆,去隆,,高也去宮切七,
𢞏,𢞏,溪,kʰ,開,三,東,東,開三東,œŋ,平,去宮,去宮,去隆,去隆,,憂也,
焪,焪,溪,kʰ,開,三,東,東,開三東,œŋ,平,去宮,去宮,,,,乾也,
芎,芎,溪,kʰ,開,三,東,東,開三東,œŋ,平,去宮,去宮,去隆,去隆,,芎藭香草根曰芎藭苗曰蘪蕪似蛇牀,
𦵡,𦵡,溪,kʰ,開,三,東,東,開三東,œŋ,平,去宮,去宮,,,,上同,芎藭香草根曰芎藭苗曰蘪蕪似蛇牀
匑,匑,溪,kʰ,開,三,東,東,開三東,œŋ,平,去宮,去宮,,,,謹敬之皃,
𥳎,𥳎,溪,kʰ,開,三,東,東,開三東,œŋ,平,去宮,去宮,去隆,去隆,,𥳎籠也又去龍切,
窮,窮,群,ˀɡʱ,開,三,東,東,開三東,œŋ,平,渠弓,渠弓,去隆,渠隆,,窮極也又窮奇獸名聞人鬬乃助不直者渠弓切三,
藭,藭,群,ˀɡʱ,開,三,東,東,開三東,œŋ,平,渠弓,渠弓,去隆,渠隆,,芎藭,
𥨪,𥨪,群,ˀɡʱ,開,三,東,東,開三東,œŋ,平,渠弓,渠弓,去隆,渠隆,,羿所封國,
馮,馮,並,ˀbʱ,合,三,東,東,合三東,œŋ,平,房戎,房戎,扶隆,扶隆,蒸,馮翊郡名又姓畢公高之伸食采於馮城因而命氏出杜陵乃長樂房戎切七,
堸,堸,並,ˀbʱ,合,三,東,東,合三東,œŋ,平,房戎,房戎,,,,蟲室,
汎,汎,並,ˀbʱ,合,三,東,東,合三東,œŋ,平,房戎,房戎,扶隆,扶隆,,浮也又孚劒切,
芃,芃,並,ˀbʱ,合,三,東,東,合三東,œŋ,平,房戎,房戎,扶隆,扶隆,,草盛也又音蓬,
𨝭,𨝭,並,ˀbʱ,合,三,東,東,合三東,œŋ,平,房戎,房戎,扶隆,,,姬姓之國,
渢,渢,並,ˀbʱ,合,三,東,東,合三東,œŋ,平,房戎,房戎,,扶隆,,弘大聲也,
梵,梵,並,ˀbʱ,合,三,東,東,合三東,œŋ,平,房戎,房戎,扶隆,,,木得風皃又防泛切,
風,風,幫,p,合,三,東,東,合三東,œŋ,平,方戎,方戎,方隆,方隆,侵,教也佚也告也聲也河圖曰風者天地之使元命包曰陰陽怒而爲風方戎切七,
飌,飌,幫,p,合,三,東,東,合三東,œŋ,平,方戎,方戎,,,,古文,教也佚也告也聲也河圖曰風者天地之使元命包曰陰陽怒而爲風方戎切七
楓,楓,幫,p,合,三,東,東,合三東,œŋ,平,方戎,方戎,方隆,方隆,,木名子可爲式爾雅云楓有脂而香孫炎云欇欇生江上有奇生枝高三四尺生毛一名楓子天旱以泥泥之即雨山海經曰黃帝殺蚩尤棄其桎梏變爲楓木脂入地千年化爲虎魄,
猦,猦,幫,p,合,三,東,東,合三東,œŋ,平,方戎,方戎,,,,猦母狀如猿逢人則叩頭小打便死得風還活出異物志,
偑,偑,幫,p,合,三,東,東,合三東,œŋ,平,方戎,方戎,,,,地名,
檒,檒,幫,p,合,三,東,東,合三東,œŋ,平,方戎,方戎,,,,檒梵聲也,
𧆉,𧆉,幫,p,合,三,東,東,合三東,œŋ,平,方戎,方戎,,,,竹名出南海,
豐,豐,滂,pʰ,合,三,東,東,合三東,œŋ,平,敷空,敷空,敷隆,敷隆,,大也多也茂也盛也又酒器豆屬又姓鄭公子豐之後敷空切八,
酆,酆,滂,pʰ,合,三,東,東,合三東,œŋ,平,敷空,敷空,敷隆,敷隆,,邑名亦姓左傳有狄相酆舒,
蘴,蘴,滂,pʰ,合,三,東,東,合三東,œŋ,平,敷空,敷空,敷隆,敷隆,,蕪菁苗也,
灃,灃,滂,pʰ,合,三,東,東,合三東,œŋ,平,敷空,敷空,敷隆,敷隆,,水名在咸陽,
寷,寷,滂,pʰ,合,三,東,東,合三東,œŋ,平,敷空,敷空,敷隆,敷隆,,大屋,
麷,麷,滂,pʰ,合,三,東,東,合三東,œŋ,平,敷空,敷空,敷隆,敷隆,,煑麥,
㒥,㒥,滂,pʰ,合,三,東,東,合三東,œŋ,平,敷空,敷空,,,,偓㒥仙人,
㠦,㠦,滂,pʰ,合,三,東,東,合三東,œŋ,平,敷空,敷空,,,,山名,
充,充,昌,tʃʰ,開,三,東,東,開三東,œŋ,平,昌終,昌終,處隆,處隆,東,美也塞也行也滿也昌終切七,
珫,珫,昌,tʃʰ,開,三,東,東,開三東,œŋ,平,昌終,昌終,處隆,處隆,,珫耳玉名詩傳云充耳謂之瑱字俗從玉,
茺,茺,昌,tʃʰ,開,三,東,東,開三東,œŋ,平,昌終,昌終,處隆,處隆,,茺蔚草也,
㤝,㤝,昌,tʃʰ,開,三,東,東,開三東,œŋ,平,昌終,昌終,處隆,處隆,,心動,
䘪,䘪,昌,tʃʰ,開,三,東,東,開三東,œŋ,平,昌終,昌終,,,,䘪襌衣也,
𪎽,𪎽,昌,tʃʰ,開,三,東,東,開三東,œŋ,平,昌終,昌終,處隆,處隆,,黃色又音統,
㳘,㳘,昌,tʃʰ,開,三,東,東,開三東,œŋ,平,昌終,昌終,,,,水聲,
隆,隆,來,l̺,開,三,東,東,開三東,œŋ,平,力中,力中,力中,力中,中,盛也豐也大也力中切六,
癃,癃,來,l̺,開,三,東,東,開三東,œŋ,平,力中,力中,力中,力中,,病也亦作𤸇,
𪔳,𪔳,來,l̺,開,三,東,東,開三東,œŋ,平,力中,力中,力中,力中,,鼓聲俗作𪔴,
窿,窿,來,l̺,開,三,東,東,開三東,œŋ,平,力中,力中,,,,穹隆天勢俗加穴,
霳,霳,來,l̺,開,三,東,東,開三東,œŋ,平,力中,力中,,,,豐隆雷師俗加雨,
㚅,㚅,來,l̺,開,三,東,東,開三東,œŋ,平,力中,力中,,,,多㚅礼天,
空,空,溪,kʰ,開,一,東,東,開一東,ɞŋ,平,苦紅,苦紅,苦紅,苦紅,東,空虛書曰伯禹作司空又漢複姓有空桐空相二氏苦紅切十四,
箜,箜,溪,kʰ,開,一,東,東,開一東,ɞŋ,平,苦紅,苦紅,苦紅,苦紅,,箜篌樂器釋名云師延所作靡靡之音出桑閒濮上續漢書云靈帝胡服作箜篌也,
崆,崆,溪,kʰ,開,一,東,東,開一東,ɞŋ,平,苦紅,苦紅,苦紅,苦紅,,崆峒,
椌,椌,溪,kʰ,開,一,東,東,開一東,ɞŋ,平,苦紅,苦紅,,,,器物朴也又丘江切,
硿,硿,溪,kʰ,開,一,東,東,開一東,ɞŋ,平,苦紅,苦紅,苦紅,苦紅,,硿青色石也,
䅝,䅝,溪,kʰ,開,一,東,東,開一東,ɞŋ,平,苦紅,苦紅,苦紅,苦紅,,稻稈,
悾,悾,溪,kʰ,開,一,東,東,開一東,ɞŋ,平,苦紅,苦紅,,苦紅,,悾悾信也愨也,
埪,埪,溪,kʰ,開,一,東,東,開一東,ɞŋ,平,苦紅,苦紅,苦紅,苦紅,,土埪龕也,
倥,倥,溪,kʰ,開,一,東,東,開一東,ɞŋ,平,苦紅,苦紅,,,,倥侗,
涳,涳,溪,kʰ,開,一,東,東,開一東,ɞŋ,平,苦紅,苦紅,苦紅,苦紅,,涳濛小雨又口江切,
鵼,鵼,溪,kʰ,開,一,東,東,開一東,ɞŋ,平,苦紅,苦紅,,,,怪鳥出字統,
𦱇,𦱇,溪,kʰ,開,一,東,東,開一東,ɞŋ,平,苦紅,苦紅,,,,𦱇心草也,
𢃐,𢃐,溪,kʰ,開,一,東,東,開一東,ɞŋ,平,苦紅,苦紅,,,,衣袂,
